q,30Ｃ,60 C,80 C,100C
0.0067,12.027,11.024,7.245,1.817
0.00712,10.078,9.3078,6.069,1.6051
0.00754,8.1612,7.4953,4.933,1.3451
0.00796,6.656,6.1046,4.0461,1.1366
0.00838,5.482,5.1198,3.3832,0.99748
0.00879,4.604,4.2962,2.8187,0.85218
0.00921,3.9021,3.6189,2.4172,0.75778
0.00963,3.3415,3.0849,2.091,0.68449
0.01005,2.8517,2.6822,1.7949,0.62732
0.01047,2.4994,2.3084,1.5697,0.57122
0.01089,2.1393,2.0228,1.3795,0.53382
0.01131,1.8795,1.7839,1.2211,0.50151
0.01173,1.7104,1.5755,1.1168,0.47887
0.01214,1.4802,1.4248,0.98261,0.43654
0.01256,1.3598,1.295,0.91481,0.41875
0.01298,1.2172,1.1653,0.82213,0.40098
0.0134,1.1058,1.0556,0.7528,0.38032
0.01382,1.0181,0.97492,0.69999,0.38425
0.01424,0.93261,0.88524,0.63838,0.35948
0.01466,0.8675,0.83778,0.5931,0.36773
0.01508,0.79727,0.77676,0.56114,0.34478
0.01549,0.74729,0.73783,0.52494,0.34663
0.01591,0.70353,0.69694,0.52135,0.35032
0.01633,0.65554,0.64925,0.48997,0.35521
0.01675,0.62546,0.61744,0.46856,0.3442
0.01717,0.58763,0.59163,0.45184,0.35462
0.01759,0.57214,0.57215,0.43064,0.35247
0.01801,0.55118,0.54717,0.42791,0.36582
0.01843,0.52158,0.54523,0.41453,0.38314
0.01885,0.51038,0.52713,0.40434,0.39719
0.01926,0.50318,0.51836,0.40493,0.41491
0.01968,0.48343,0.50966,0.39937,0.4296
0.0201,0.48208,0.50501,0.39755,0.4519
0.02052,0.47148,0.5079,0.40308,0.48014
0.02094,0.45907,0.49387,0.40304,0.52425
0.02136,0.45823,0.49532,0.40464,0.56393
0.02178,0.45394,0.49378,0.4106,0.61388
0.0222,0.44983,0.49945,0.42105,0.6758
0.02261,0.45477,0.50486,0.4303,0.75021
0.02303,0.45107,0.50098,0.43488,0.85513
0.02345,0.46818,0.51832,0.45863,0.9915
0.02387,0.46135,0.52041,0.4779,1.1525
0.02429,0.4601,0.54108,0.49641,1.3963
0.02471,0.47074,0.55219,0.51635,1.7142
0.02513,0.47174,0.56134,0.55126,2.1896
0.02555,0.49195,0.56735,0.57778,2.9025
0.02596,0.49832,0.58701,0.61934,4.0054
0.02638,0.50263,0.60522,0.6641,5.8313
0.0268,0.5098,0.62284,0.71661,8.8188
0.02722,0.52726,0.64377,0.78616,13.009
0.02764,0.54349,0.6597,0.85746,16.907
0.02806,0.55222,0.68252,0.94087,16.911
0.02848,0.56161,0.70702,1.0472,13.263
0.0289,0.57821,0.73006,1.1783,8.8862
0.02931,0.58654,0.75684,1.3254,5.5931
0.02973,0.61118,0.79391,1.4874,3.409
0.03015,0.62723,0.81783,1.7067,2.0651
0.03057,0.64308,0.8433,1.9782,1.3138
0.03099,0.6616,0.87661,2.3132,0.91271
0.03141,0.68641,0.92227,2.7268,0.66683
0.03183,0.70418,0.96499,3.2055,0.51084
0.03225,0.72119,0.99658,3.7585,0.40791
0.03266,0.75072,1.0443,4.3094,0.34582
0.03308,0.76454,1.0812,4.814,0.28628
0.0335,0.79456,1.1368,5.1693,0.25765
0.03392,0.83078,1.1964,5.2072,0.22609
0.03434,0.84302,1.2715,4.9397,0.20821
0.03476,0.8833,1.3045,4.3628,0.19327
0.03518,0.90752,1.3752,3.6814,0.17604
0.0356,0.93564,1.4494,2.8894,0.16236
0.03601,0.9827,1.5313,2.1992,0.15635
0.03643,1.0118,1.5902,1.6434,0.15418
0.03685,1.0491,1.6586,1.2389,0.14298
0.03727,1.0792,1.6949,0.9217,0.139
0.03769,1.1073,1.7348,0.70066,0.12954
0.03811,1.1282,1.7506,0.54268,0.12645
0.03853,1.1401,1.7185,0.43219,0.12242
0.03895,1.1351,1.6739,0.35529,0.11602
0.03937,1.151,1.6583,0.3013,0.11476
0.03978,1.1483,1.5614,0.25937,0.11285
0.0402,1.1098,1.4421,0.22791,0.10628
0.04062,1.0611,1.2952,0.20341,0.10647
0.04104,1.0039,1.1333,0.1826,0.10444
0.04146,0.91324,0.97423,0.16565,0.10041
0.04188,0.81541,0.81141,0.15478,0.098679
0.0423,0.71905,0.67402,0.14436,0.098141
0.04272,0.6166,0.55489,0.13539,0.093595
0.04313,0.51948,0.4595,0.12652,0.091974
0.04355,0.43867,0.38043,0.12307,0.09333
0.04397,0.36633,0.32107,0.1176,0.08805
0.04439,0.30462,0.27698,0.10736,0.089368
0.04481,0.25898,0.2414,0.10854,0.088792
0.04523,0.22535,0.21172,0.10734,0.087255
