q_A^-1,I_q
0.0102509,0.474955
0.0107766,0.429338
0.0120908,0.392665
0.0128793,0.379249
0.0141935,0.357782
0.0157706,0.342576
0.0170848,0.322898
0.0186619,0.303220
0.0202389,0.296959
0.0212903,0.283542
0.0226045,0.271020
0.0244444,0.256708
0.0252330,0.248658
0.0273357,0.240608
0.0346953,0.209302
0.0378495,0.193202
0.0402151,0.182469
0.0425806,0.175313
0.0586141,0.137746
0.0609797,0.131485
0.0638710,0.128801
0.0664994,0.125224
0.0691278,0.120751
0.0717563,0.116279
0.0743847,0.110912
0.0770131,0.105546
0.0793787,0.101968
0.0848984,0.094812
0.0872640,0.091234
0.0948865,0.073345
0.0975149,0.072451
0.1001434,0.069767
0.1080287,0.069767
0.1106571,0.066190
0.1127599,0.069767
0.1156511,0.065295
0.1182796,0.066190
0.1209080,0.057245
0.1235364,0.053667
0.1261649,0.056351
0.1287933,0.050089
0.1311589,0.056351
0.1337873,0.055456
0.1364158,0.042934
0.1387814,0.050984
0.1416726,0.042039
0.1443011,0.041145
0.1466667,0.048301
0.1495579,0.043828
0.1516607,0.041145
0.1545520,0.042934
0.1569176,0.043828
0.1595460,0.043828
0.1619116,0.042934
0.1648029,0.036673
0.1671685,0.041145
0.1695341,0.038462
0.1721625,0.034884
0.1747909,0.034884
0.1771565,0.034884
0.1824134,0.032200
0.1847790,0.029517
0.1871446,0.031306
0.1897730,0.031306
0.1924014,0.031306
0.1947670,0.029517
0.1973955,0.028623
0.1997611,0.024150
0.2023895,0.032200
0.2047551,0.035778
0.2073835,0.034884
0.2097491,0.033095
0.2123775,0.033989
