q_A^-1,I_q
0.0144564,0.483900
0.0157706,0.454383
0.0173477,0.420394
0.0186619,0.404293
0.0197133,0.384615
0.0212903,0.357782
0.0226045,0.341682
0.0241816,0.316637
0.0254958,0.297853
0.0273357,0.283542
0.0297013,0.253131
0.0325926,0.233453
0.0352210,0.219141
0.0373238,0.209302
0.0404779,0.201252
0.0431063,0.186047
0.0454719,0.179785
0.0530944,0.146691
0.0562485,0.141324
0.0586141,0.133274
0.0609797,0.129696
0.0638710,0.124329
0.0662366,0.118962
0.1027718,0.067979
0.1054002,0.067084
0.1130227,0.056351
0.1156511,0.054562
0.1182796,0.057245
0.1209080,0.056351
0.1235364,0.052773
0.1287933,0.049195
0.1314217,0.045617
0.1337873,0.042934
0.1364158,0.042039
0.1390442,0.041145
0.1416726,0.040250
0.1443011,0.039356
0.1466667,0.033095
0.1492951,0.032200
0.1516607,0.028623
0.1545520,0.029517
0.1569176,0.029517
0.1595460,0.029517
0.1648029,0.026834
0.1671685,0.025939
0.1695341,0.022361
0.1721625,0.018784
0.1747909,0.020572
0.1824134,0.016995
0.1850418,0.013417
0.1874074,0.015206
0.1900358,0.015206
0.1924014,0.016100
0.1950299,0.012522
0.1973955,0.010733
0.2000239,0.010733
0.2026523,0.011628
