q_A^-1,I_q
0.0081481,0.464222
0.0086738,0.395349
0.0094624,0.346154
0.0102509,0.310376
0.0107766,0.264758
0.0120908,0.245975
0.0128793,0.241503
0.0141935,0.219141
0.0152449,0.219141
0.0170848,0.218247
0.0186619,0.203936
0.0202389,0.203041
0.0210275,0.203041
0.0223417,0.188730
0.0244444,0.183363
0.0252330,0.183363
0.0273357,0.180680
0.0323297,0.169946
0.0349582,0.167263
0.0378495,0.167263
0.0402151,0.161896
0.0428435,0.161002
0.0454719,0.164580
0.0481004,0.161002
0.0509916,0.163685
0.0536201,0.161002
0.0559857,0.160107
0.0586141,0.161002
0.0609797,0.160107
0.0638710,0.160107
0.0664994,0.158318
0.0691278,0.153846
0.0717563,0.150268
0.0743847,0.143113
0.0767503,0.135063
0.0793787,0.127013
0.0820072,0.123435
0.0846356,0.115385
0.0872640,0.109123
0.0898925,0.104651
0.0925209,0.099284
0.0951493,0.092129
0.0975149,0.085868
0.1001434,0.082290
0.1027718,0.078712
0.1054002,0.076029
0.1080287,0.069767
0.1106571,0.066190
0.1132855,0.057245
0.1156511,0.055456
0.1182796,0.058140
0.1209080,0.056351
0.1235364,0.053667
0.1287933,0.048301
0.1314217,0.045617
0.1337873,0.042934
0.1364158,0.042039
0.1387814,0.040250
0.1469295,0.033989
0.1492951,0.033095
0.1516607,0.029517
0.1542891,0.029517
0.1569176,0.027728
0.1695341,0.020572
0.1721625,0.019678
0.1747909,0.019678
0.1824134,0.016995
0.1850418,0.014311
0.1871446,0.015206
0.1897730,0.014311
0.1950299,0.011628
0.1973955,0.010733
0.2000239,0.010733
0.2026523,0.012522
0.2073835,0.013417
0.2150060,0.014311
