series,q_A^-1,I_q,pixel_x,pixel_y,match_score
salt_free,0.0073596,0.386404,202,252,0.7848
salt_free,0.0081481,0.288909,205,361,0.9389
salt_free,0.0086738,0.247764,207,407,0.8517
salt_free,0.0094624,0.211986,210,447,0.9743
salt_free,0.0102509,0.178891,213,484,0.9615
salt_free,0.0107766,0.127907,215,541,0.7943
salt_free,0.0120908,0.107335,220,564,0.3335
salt_free,0.0128793,0.092129,223,581,0.5074
salt_free,0.0144564,0.082290,229,592,0.5819
salt_free,0.0152449,0.082290,232,592,0.5285
salt_free,0.0170848,0.071556,239,604,0.4557
salt_free,0.0183990,0.067084,244,609,0.4062
salt_free,0.0199761,0.065295,250,611,0.4472
salt_free,0.0215532,0.064401,256,612,0.4226
salt_free,0.0223417,0.064401,259,612,0.4151
salt_free,0.0244444,0.065295,267,611,0.4281
salt_free,0.0252330,0.066190,270,610,0.3846
salt_free,0.0273357,0.066190,278,610,0.3792
salt_free,0.0299642,0.071556,288,604,0.4654
salt_free,0.0325926,0.089445,298,584,0.4093
salt_free,0.0404779,0.130590,328,538,0.4853
salt_free,0.0431063,0.135957,338,532,0.4136
salt_free,0.0454719,0.153846,347,512,0.5413
salt_free,0.0533572,0.197674,377,463,0.7383
salt_free,0.0559857,0.209302,387,450,0.6628
salt_free,0.0586141,0.212880,397,446,0.7340
salt_free,0.0612425,0.215564,407,443,1.0000
salt_free,0.0638710,0.213775,417,445,1.0000
salt_free,0.0664994,0.210197,427,449,1.0000
salt_free,0.0691278,0.202147,437,458,0.9096
salt_free,0.0717563,0.188730,447,473,0.9372
salt_free,0.0746476,0.175313,458,488,0.9003
salt_free,0.0770131,0.161002,467,504,0.8415
salt_free,0.0796416,0.148479,477,518,0.7909
salt_free,0.0822700,0.139535,487,528,0.7889
salt_free,0.0848984,0.127907,497,541,0.9136
salt_free,0.0875269,0.114490,507,556,0.5398
salt_free,0.0898925,0.103757,516,568,0.6645
salt_free,0.0925209,0.099284,526,573,0.6808
salt_free,0.0951493,0.092129,536,581,0.5758
salt_free,0.0975149,0.085868,545,588,0.5943
salt_free,0.1001434,0.082290,555,592,0.6095
salt_free,0.1027718,0.077818,565,597,0.5432
salt_free,0.1054002,0.074240,575,601,0.5157
salt_free,0.1080287,0.069767,585,606,0.6328
salt_free,0.1106571,0.065295,595,611,0.6485
