q_A^-1,I_q
0.0073596,0.386404
0.0081481,0.288909
0.0086738,0.247764
0.0094624,0.211986
0.0102509,0.178891
0.0107766,0.127907
0.0120908,0.107335
0.0128793,0.092129
0.0144564,0.082290
0.0152449,0.082290
0.0170848,0.071556
0.0183990,0.067084
0.0199761,0.065295
0.0215532,0.064401
0.0223417,0.064401
0.0244444,0.065295
0.0252330,0.066190
0.0273357,0.066190
0.0299642,0.071556
0.0325926,0.089445
0.0404779,0.130590
0.0431063,0.135957
0.0454719,0.153846
0.0533572,0.197674
0.0559857,0.209302
0.0586141,0.212880
0.0612425,0.215564
0.0638710,0.213775
0.0664994,0.210197
0.0691278,0.202147
0.0717563,0.188730
0.0746476,0.175313
0.0770131,0.161002
0.0796416,0.148479
0.0822700,0.139535
0.0848984,0.127907
0.0875269,0.114490
0.0898925,0.103757
0.0925209,0.099284
0.0951493,0.092129
0.0975149,0.085868
0.1001434,0.082290
0.1027718,0.077818
0.1054002,0.074240
0.1080287,0.069767
0.1106571,0.065295
0.1130227,0.057245
0.1156511,0.054562
0.1182796,0.057245
0.1209080,0.056351
0.1235364,0.052773
0.1261649,0.052773
0.1287933,0.049195
0.1311589,0.046512
0.1337873,0.042934
0.1364158,0.042039
0.1390442,0.041145
0.1414098,0.041145
0.1443011,0.040250
0.1466667,0.033095
0.1492951,0.033095
0.1516607,0.029517
0.1542891,0.029517
0.1569176,0.029517
0.1595460,0.030411
0.1619116,0.030411
0.1648029,0.026834
0.1671685,0.026834
0.1695341,0.022361
0.1721625,0.018784
0.1747909,0.020572
0.1771565,0.024150
0.1797849,0.023256
0.1824134,0.016995
0.1850418,0.013417
0.1871446,0.015206
0.1897730,0.015206
0.1926643,0.017889
0.1950299,0.012522
0.1973955,0.010733
0.2000239,0.010733
0.2026523,0.011628
0.2050179,0.016100
0.2073835,0.014311
0.2100119,0.016100
0.2123775,0.016100
0.2150060,0.013417
