Q,I,err,count
1.025090000000000029e-02,4.932233525550959174e-01,1.424864999999999986e-02,1.000000000000000000e+00
1.077660000000000076e-02,4.476063525550958988e-01,1.288013999999999999e-02,1.000000000000000000e+00
1.209080000000000051e-02,4.109333525550958877e-01,1.177994999999999910e-02,1.000000000000000000e+00
1.287929999999999978e-02,3.975173525550959042e-01,1.137746999999999890e-02,1.000000000000000000e+00
1.419349999999999952e-02,3.760503525550958903e-01,1.073345999999999849e-02,1.000000000000000000e+00
1.577059999999999920e-02,3.608443525550958930e-01,1.027727999999999975e-02,1.000000000000000000e+00
1.708480000000000068e-02,3.411663525550959197e-01,9.686939999999999787e-03,1.000000000000000000e+00
1.866189999999999863e-02,3.214883525550958909e-01,9.096599999999999825e-03,1.000000000000000000e+00
2.023890000000000064e-02,3.152273525550958744e-01,8.908769999999998149e-03,1.000000000000000000e+00
2.129030000000000158e-02,3.018103525550959176e-01,8.506259999999999863e-03,1.000000000000000000e+00
2.260449999999999959e-02,2.892883525550958845e-01,8.130599999999999980e-03,1.000000000000000000e+00
2.444440000000000154e-02,2.749763525550958931e-01,7.701239999999999822e-03,1.000000000000000000e+00
2.523299999999999849e-02,2.669263525550958915e-01,7.459739999999999427e-03,1.000000000000000000e+00
2.733570000000000097e-02,2.588763525550958899e-01,7.218239999999999032e-03,1.000000000000000000e+00
3.469529999999999836e-02,2.275703525550958894e-01,6.279059999999999503e-03,1.000000000000000000e+00
3.784950000000000120e-02,2.114703525550959140e-01,5.796060000000000448e-03,1.000000000000000000e+00
4.021509999999999668e-02,2.007373525550958937e-01,5.474069999999999284e-03,1.000000000000000000e+00
4.258060000000000317e-02,1.935813525550958980e-01,5.259390000000000072e-03,1.000000000000000000e+00
5.861410000000000231e-02,1.560143525550959087e-01,4.132379999999999734e-03,1.000000000000000000e+00
6.097969999999999779e-02,1.497533525550958922e-01,3.944549999999999793e-03,1.000000000000000000e+00
6.387099999999999722e-02,1.470693525550959002e-01,3.864029999999999635e-03,1.000000000000000000e+00
6.649940000000000018e-02,1.434923525550959034e-01,3.756719999999999851e-03,1.000000000000000000e+00
6.912780000000000313e-02,1.390193525550958986e-01,3.622529999999999674e-03,1.000000000000000000e+00
7.175629999999999509e-02,1.345473525550958949e-01,3.488369999999999752e-03,1.000000000000000000e+00
7.438469999999999804e-02,1.291803525550959120e-01,3.327359999999999693e-03,1.000000000000000000e+00
7.701310000000000100e-02,1.238143525550959023e-01,3.166379999999999889e-03,1.000000000000000000e+00
7.937869999999999648e-02,1.202363525550959045e-01,3.059039999999999850e-03,1.000000000000000000e+00
8.489839999999999887e-02,1.130803525550959088e-01,3.000000000000000062e-03,1.000000000000000000e+00
8.726399999999999435e-02,1.095023525550959109e-01,3.000000000000000062e-03,1.000000000000000000e+00
9.488649999999999862e-02,9.161335255509589492e-02,3.000000000000000062e-03,1.000000000000000000e+00
9.751490000000000158e-02,9.071935255509591678e-02,3.000000000000000062e-03,1.000000000000000000e+00
1.001433999999999935e-01,8.803535255509589708e-02,3.000000000000000062e-03,1.000000000000000000e+00
1.080287000000000053e-01,8.803535255509589708e-02,3.000000000000000062e-03,1.000000000000000000e+00
1.106570999999999944e-01,8.445835255509590023e-02,3.000000000000000062e-03,1.000000000000000000e+00
1.127598999999999962e-01,8.803535255509589708e-02,3.000000000000000062e-03,1.000000000000000000e+00
1.156511000000000067e-01,8.356335255509592108e-02,3.000000000000000062e-03,1.000000000000000000e+00
1.182795999999999986e-01,8.445835255509590023e-02,3.000000000000000062e-03,1.000000000000000000e+00
1.209080000000000016e-01,7.551335255509590560e-02,3.000000000000000062e-03,1.000000000000000000e+00
1.235364000000000045e-01,7.193535255509590776e-02,3.000000000000000062e-03,1.000000000000000000e+00
1.261648999999999965e-01,7.461935255509591358e-02,3.000000000000000062e-03,1.000000000000000000e+00
1.287932999999999995e-01,6.835735255509590991e-02,3.000000000000000062e-03,1.000000000000000000e+00
1.311588999999999949e-01,7.461935255509591358e-02,3.000000000000000062e-03,1.000000000000000000e+00
1.337872999999999979e-01,7.372435255509590668e-02,3.000000000000000062e-03,1.000000000000000000e+00
1.364158000000000037e-01,6.120235255509590827e-02,3.000000000000000062e-03,1.000000000000000000e+00
1.387813999999999992e-01,6.925235255509590293e-02,3.000000000000000062e-03,1.000000000000000000e+00
1.416726000000000096e-01,6.030735255509590831e-02,3.000000000000000062e-03,1.000000000000000000e+00
1.443010999999999877e-01,5.941335255509590935e-02,3.000000000000000062e-03,1.000000000000000000e+00
1.466667000000000110e-01,6.656935255509591198e-02,3.000000000000000062e-03,1.000000000000000000e+00
1.495578999999999936e-01,6.209635255509590723e-02,3.000000000000000062e-03,1.000000000000000000e+00
1.516607000000000094e-01,5.941335255509590935e-02,3.000000000000000062e-03,1.000000000000000000e+00
1.545519999999999949e-01,6.120235255509590827e-02,3.000000000000000062e-03,1.000000000000000000e+00
1.569175999999999904e-01,6.209635255509590723e-02,3.000000000000000062e-03,1.000000000000000000e+00
1.595459999999999934e-01,6.209635255509590723e-02,3.000000000000000062e-03,1.000000000000000000e+00
1.619115999999999889e-01,6.120235255509590827e-02,3.000000000000000062e-03,1.000000000000000000e+00
1.648029000000000022e-01,5.494135255509590560e-02,3.000000000000000062e-03,1.000000000000000000e+00
1.671684999999999977e-01,5.941335255509590935e-02,3.000000000000000062e-03,1.000000000000000000e+00
1.695340999999999931e-01,5.673035255509591146e-02,3.000000000000000062e-03,1.000000000000000000e+00
1.721624999999999961e-01,5.315235255509590667e-02,3.000000000000000062e-03,1.000000000000000000e+00
1.747908999999999990e-01,5.315235255509590667e-02,3.000000000000000062e-03,1.000000000000000000e+00
1.771564999999999945e-01,5.315235255509590667e-02,3.000000000000000062e-03,1.000000000000000000e+00
1.824134000000000033e-01,5.046835255509590779e-02,3.000000000000000062e-03,1.000000000000000000e+00
1.847789999999999988e-01,4.778535255509590990e-02,3.000000000000000062e-03,1.000000000000000000e+00
1.871445999999999943e-01,4.957435255509590882e-02,3.000000000000000062e-03,1.000000000000000000e+00
1.897729999999999972e-01,4.957435255509590882e-02,3.000000000000000062e-03,1.000000000000000000e+00
1.924014000000000002e-01,4.957435255509590882e-02,3.000000000000000062e-03,1.000000000000000000e+00
1.947669999999999957e-01,4.778535255509590990e-02,3.000000000000000062e-03,1.000000000000000000e+00
1.973955000000000015e-01,4.689135255509591094e-02,3.000000000000000062e-03,1.000000000000000000e+00
1.997610999999999970e-01,4.241835255509590619e-02,3.000000000000000062e-03,1.000000000000000000e+00
2.023895000000000000e-01,5.046835255509590779e-02,3.000000000000000062e-03,1.000000000000000000e+00
2.047550999999999954e-01,5.404635255509590563e-02,3.000000000000000062e-03,1.000000000000000000e+00
2.073834999999999984e-01,5.315235255509590667e-02,3.000000000000000062e-03,1.000000000000000000e+00
2.097490999999999939e-01,5.136335255509590775e-02,3.000000000000000062e-03,1.000000000000000000e+00
2.123774999999999968e-01,5.225735255509590671e-02,3.000000000000000062e-03,1.000000000000000000e+00
