Q,I,err,count
1.025090000000000029e-02,4.749550000000000161e-01,1.424864999999999986e-02,1.000000000000000000e+00
1.077660000000000076e-02,4.293379999999999974e-01,1.288013999999999999e-02,1.000000000000000000e+00
1.209080000000000051e-02,3.926649999999999863e-01,1.177994999999999910e-02,1.000000000000000000e+00
1.287929999999999978e-02,3.792490000000000028e-01,1.137746999999999890e-02,1.000000000000000000e+00
1.419349999999999952e-02,3.577819999999999889e-01,1.073345999999999849e-02,1.000000000000000000e+00
1.577059999999999920e-02,3.425759999999999916e-01,1.027727999999999975e-02,1.000000000000000000e+00
1.708480000000000068e-02,3.228980000000000183e-01,9.686939999999999787e-03,1.000000000000000000e+00
1.866189999999999863e-02,3.032199999999999895e-01,9.096599999999999825e-03,1.000000000000000000e+00
2.023890000000000064e-02,2.969589999999999730e-01,8.908769999999998149e-03,1.000000000000000000e+00
2.129030000000000158e-02,2.835420000000000162e-01,8.506259999999999863e-03,1.000000000000000000e+00
2.260449999999999959e-02,2.710199999999999831e-01,8.130599999999999980e-03,1.000000000000000000e+00
2.444440000000000154e-02,2.567079999999999917e-01,7.701239999999999822e-03,1.000000000000000000e+00
2.523299999999999849e-02,2.486579999999999901e-01,7.459739999999999427e-03,1.000000000000000000e+00
2.733570000000000097e-02,2.406079999999999885e-01,7.218239999999999032e-03,1.000000000000000000e+00
3.469529999999999836e-02,2.093019999999999881e-01,6.279059999999999503e-03,1.000000000000000000e+00
3.784950000000000120e-02,1.932020000000000126e-01,5.796060000000000448e-03,1.000000000000000000e+00
4.021509999999999668e-02,1.824689999999999923e-01,5.474069999999999284e-03,1.000000000000000000e+00
4.258060000000000317e-02,1.753129999999999966e-01,5.259390000000000072e-03,1.000000000000000000e+00
5.861410000000000231e-02,1.377460000000000073e-01,4.132379999999999734e-03,1.000000000000000000e+00
6.097969999999999779e-02,1.314849999999999908e-01,3.944549999999999793e-03,1.000000000000000000e+00
6.387099999999999722e-02,1.288009999999999988e-01,3.864029999999999635e-03,1.000000000000000000e+00
6.649940000000000018e-02,1.252240000000000020e-01,3.756719999999999851e-03,1.000000000000000000e+00
6.912780000000000313e-02,1.207509999999999972e-01,3.622529999999999674e-03,1.000000000000000000e+00
