Q,I_obs,err,I_fit,I_fit_over_I_obs
1.025090000000000029e-02,4.932233525550959174e-01,1.424864999999999986e-02,4.801463611442445822e-01,9.734866742559791231e-01
1.077660000000000076e-02,4.476063525550958988e-01,1.288013999999999999e-02,4.572909072105705852e-01,1.021636320843508638e+00
1.209080000000000051e-02,4.109333525550958877e-01,1.177994999999999910e-02,4.162795240504765237e-01,1.013009826197214913e+00
1.287929999999999978e-02,3.975173525550959042e-01,1.137746999999999890e-02,3.987777148900802926e-01,1.003170584445894686e+00
1.419349999999999952e-02,3.760503525550958903e-01,1.073345999999999849e-02,3.764023045385198052e-01,1.000935917174475609e+00
1.577059999999999920e-02,3.608443525550958930e-01,1.027727999999999975e-02,3.559425156291186054e-01,9.864156473801849456e-01
1.708480000000000068e-02,3.411663525550959197e-01,9.686939999999999787e-03,3.410797702416787369e-01,9.997462167275033007e-01
1.866189999999999863e-02,3.214883525550958909e-01,9.096599999999999825e-03,3.187896896773736444e-01,9.916057211520291625e-01
2.023890000000000064e-02,3.152273525550958744e-01,8.908769999999998149e-03,3.059026441890800863e-01,9.704191013551528577e-01
2.129030000000000158e-02,3.018103525550959176e-01,8.506259999999999863e-03,2.987233050251515976e-01,9.897715651441055806e-01
2.260449999999999959e-02,2.892883525550958845e-01,8.130599999999999980e-03,2.884389359481377979e-01,9.970637718406021310e-01
2.444440000000000154e-02,2.749763525550958931e-01,7.701239999999999822e-03,2.753854811551949555e-01,1.001487868306846885e+00
2.523299999999999849e-02,2.669263525550958915e-01,7.459739999999999427e-03,2.709614248791445412e-01,1.015116800141401487e+00
2.733570000000000097e-02,2.588763525550958899e-01,7.218239999999999032e-03,2.590586387522941791e-01,1.000704143871771645e+00
3.469529999999999836e-02,2.275703525550958894e-01,6.279059999999999503e-03,2.254464946089617949e-01,9.906672467556163486e-01
3.784950000000000120e-02,2.114703525550959140e-01,5.796060000000000448e-03,2.128114657672454946e-01,1.006341849795706844e+00
4.021509999999999668e-02,2.007373525550958937e-01,5.474069999999999284e-03,2.040246633813480315e-01,1.016376179043956940e+00
4.258060000000000317e-02,1.935813525550958980e-01,5.259390000000000072e-03,1.965201114494938561e-01,1.015181001969502894e+00
5.861410000000000231e-02,1.560143525550959087e-01,4.132379999999999734e-03,1.557899866228887320e-01,9.985618891561406363e-01
6.097969999999999779e-02,1.497533525550958922e-01,3.944549999999999793e-03,1.501572109632016427e-01,1.002696823818733263e+00
6.387099999999999722e-02,1.470693525550959002e-01,3.864029999999999635e-03,1.443705646966037259e-01,9.816495564058382861e-01
6.649940000000000018e-02,1.434923525550959034e-01,3.756719999999999851e-03,1.399560377676294376e-01,9.753553780079767810e-01
6.912780000000000313e-02,1.390193525550958986e-01,3.622529999999999674e-03,1.349504764304076676e-01,9.707315848484069365e-01
7.175629999999999509e-02,1.345473525550958949e-01,3.488369999999999752e-03,1.304702052353411412e-01,9.696973055037615419e-01
7.438469999999999804e-02,1.291803525550959120e-01,3.327359999999999693e-03,1.255527402525978831e-01,9.719182350044226482e-01
7.701310000000000100e-02,1.238143525550959023e-01,3.166379999999999889e-03,1.215919013612522803e-01,9.820501327351798260e-01
7.937869999999999648e-02,1.202363525550959045e-01,3.059039999999999850e-03,1.181085750462020495e-01,9.823033761114897677e-01
8.489839999999999887e-02,1.130803525550959088e-01,3.000000000000000062e-03,1.104559591465039819e-01,9.767917825750211946e-01
8.726399999999999435e-02,1.095023525550959109e-01,3.000000000000000062e-03,1.074310734188504007e-01,9.810846151894010436e-01
9.488649999999999862e-02,9.161335255509589492e-02,3.000000000000000062e-03,9.876581190191842385e-02,1.078072236713759180e+00
9.751490000000000158e-02,9.071935255509591678e-02,3.000000000000000062e-03,9.616017968276538430e-02,1.059974272020571595e+00
1.001433999999999935e-01,8.803535255509589708e-02,3.000000000000000062e-03,9.365204730497038443e-02,1.063800445921532889e+00
1.080287000000000053e-01,8.803535255509589708e-02,3.000000000000000062e-03,8.693271586499061454e-02,9.874750692976982380e-01
1.106570999999999944e-01,8.445835255509590023e-02,3.000000000000000062e-03,8.491633988434346691e-02,1.005422641046056498e+00
1.127598999999999962e-01,8.803535255509589708e-02,3.000000000000000062e-03,8.337405430540345552e-02,9.470519727086317285e-01
1.156511000000000067e-01,8.356335255509592108e-02,3.000000000000000062e-03,8.135123696621471279e-02,9.735276826354867241e-01
1.182795999999999986e-01,8.445835255509590023e-02,3.000000000000000062e-03,7.959621581308694294e-02,9.424315464969889033e-01
1.209080000000000016e-01,7.551335255509590560e-02,3.000000000000000062e-03,7.791712487444359125e-02,1.031832414242154661e+00
1.235364000000000045e-01,7.193535255509590776e-02,3.000000000000000062e-03,7.630708137143470127e-02,1.060773022735802318e+00
1.261648999999999965e-01,7.461935255509591358e-02,3.000000000000000062e-03,7.476578398409533532e-02,1.001962378712563995e+00
1.287932999999999995e-01,6.835735255509590991e-02,3.000000000000000062e-03,7.328083151974147669e-02,1.072025594623156941e+00
1.311588999999999949e-01,7.461935255509591358e-02,3.000000000000000062e-03,7.198954246348840402e-02,9.647569966562525856e-01
