Q,I,err,count
7.622499999999999935e-03,3.309480000000000199e-01,9.928440000000000182e-03,1.000000000000000000e+00
8.148100000000000134e-03,2.567079999999999917e-01,7.701239999999999822e-03,1.000000000000000000e+00
9.462399999999999284e-03,1.905189999999999939e-01,5.715569999999999679e-03,1.000000000000000000e+00
1.025090000000000029e-02,1.627909999999999913e-01,4.883729999999999322e-03,1.000000000000000000e+00
1.077660000000000076e-02,1.243289999999999951e-01,3.729869999999999713e-03,1.000000000000000000e+00
1.209080000000000051e-02,1.064400000000000068e-01,3.193200000000000205e-03,1.000000000000000000e+00
1.577059999999999920e-02,9.481199999999999350e-02,3.000000000000000062e-03,1.000000000000000000e+00
1.892469999999999916e-02,8.855100000000000471e-02,3.000000000000000062e-03,1.000000000000000000e+00
1.997610000000000011e-02,9.928399999999999725e-02,3.000000000000000062e-03,1.000000000000000000e+00
2.102750000000000105e-02,9.302299999999999458e-02,3.000000000000000062e-03,1.000000000000000000e+00
2.260449999999999959e-02,9.749599999999999933e-02,3.000000000000000062e-03,1.000000000000000000e+00
2.391880000000000048e-02,9.749599999999999933e-02,3.000000000000000062e-03,1.000000000000000000e+00
2.523299999999999849e-02,9.302299999999999458e-02,3.000000000000000062e-03,1.000000000000000000e+00
2.733570000000000097e-02,1.046509999999999940e-01,3.139529999999999751e-03,1.000000000000000000e+00
2.996419999999999986e-02,1.019680000000000031e-01,3.059039999999999850e-03,1.000000000000000000e+00
3.232970000000000288e-02,1.118070000000000036e-01,3.354209999999999831e-03,1.000000000000000000e+00
3.522100000000000231e-02,1.171740000000000004e-01,3.515219999999999890e-03,1.000000000000000000e+00
3.784950000000000120e-02,1.288009999999999988e-01,3.864029999999999635e-03,1.000000000000000000e+00
4.284349999999999964e-02,1.466909999999999881e-01,4.400729999999999399e-03,1.000000000000000000e+00
5.309439999999999993e-02,1.779959999999999876e-01,5.339879999999999106e-03,1.000000000000000000e+00
5.624849999999999989e-02,1.851520000000000110e-01,5.554560000000000053e-03,1.000000000000000000e+00
5.861410000000000231e-02,1.896239999999999870e-01,5.688719999999999541e-03,1.000000000000000000e+00
6.124249999999999833e-02,1.887300000000000089e-01,5.661900000000000092e-03,1.000000000000000000e+00
6.387099999999999722e-02,1.878350000000000020e-01,5.635049999999999955e-03,1.000000000000000000e+00
6.649940000000000018e-02,1.842580000000000051e-01,5.527739999999999737e-03,1.000000000000000000e+00
6.912780000000000313e-02,1.771020000000000094e-01,5.313059999999999658e-03,1.000000000000000000e+00
7.175629999999999509e-02,1.717349999999999988e-01,5.152050000000000032e-03,1.000000000000000000e+00
7.438469999999999804e-02,1.636849999999999972e-01,4.910549999999999637e-03,1.000000000000000000e+00
7.701310000000000100e-02,1.511629999999999918e-01,4.534889999999999755e-03,1.000000000000000000e+00
7.937869999999999648e-02,1.404289999999999983e-01,4.212869999999999636e-03,1.000000000000000000e+00
8.200720000000000232e-02,1.341680000000000095e-01,4.025040000000000562e-03,1.000000000000000000e+00
8.463560000000000527e-02,1.153850000000000015e-01,3.461549999999999870e-03,1.000000000000000000e+00
8.989250000000000018e-02,1.046509999999999940e-01,3.139529999999999751e-03,1.000000000000000000e+00
9.252090000000000314e-02,9.928399999999999725e-02,3.000000000000000062e-03,1.000000000000000000e+00
9.514930000000000609e-02,9.212900000000000256e-02,3.000000000000000062e-03,1.000000000000000000e+00
9.751490000000000158e-02,9.302299999999999458e-02,3.000000000000000062e-03,1.000000000000000000e+00
1.001433999999999935e-01,8.229000000000000203e-02,3.000000000000000062e-03,1.000000000000000000e+00
1.027717999999999965e-01,8.407900000000000096e-02,3.000000000000000062e-03,1.000000000000000000e+00
1.054001999999999994e-01,7.334499999999999353e-02,3.000000000000000062e-03,1.000000000000000000e+00
1.106570999999999944e-01,6.529500000000000581e-02,3.000000000000000062e-03,1.000000000000000000e+00
1.132854999999999973e-01,5.813999999999999724e-02,3.000000000000000062e-03,1.000000000000000000e+00
1.156511000000000067e-01,5.545599999999999835e-02,3.000000000000000062e-03,1.000000000000000000e+00
1.182795999999999986e-01,5.813999999999999724e-02,3.000000000000000062e-03,1.000000000000000000e+00
1.209080000000000016e-01,5.724499999999999728e-02,3.000000000000000062e-03,1.000000000000000000e+00
1.235364000000000045e-01,5.366699999999999943e-02,3.000000000000000062e-03,1.000000000000000000e+00
1.261648999999999965e-01,5.277300000000000046e-02,3.000000000000000062e-03,1.000000000000000000e+00
1.287932999999999995e-01,4.919500000000000262e-02,3.000000000000000062e-03,1.000000000000000000e+00
1.337872999999999979e-01,4.382799999999999890e-02,3.000000000000000062e-03,1.000000000000000000e+00
1.364158000000000037e-01,4.293399999999999994e-02,3.000000000000000062e-03,1.000000000000000000e+00
1.443010999999999877e-01,4.025000000000000105e-02,3.000000000000000062e-03,1.000000000000000000e+00
1.469294999999999907e-01,3.398899999999999838e-02,3.000000000000000062e-03,1.000000000000000000e+00
1.492950999999999862e-01,3.309499999999999942e-02,3.000000000000000062e-03,1.000000000000000000e+00
1.516607000000000094e-01,2.951700000000000157e-02,3.000000000000000062e-03,1.000000000000000000e+00
1.569175999999999904e-01,3.041100000000000053e-02,3.000000000000000062e-03,1.000000000000000000e+00
1.598088000000000009e-01,3.130600000000000049e-02,3.000000000000000062e-03,1.000000000000000000e+00
1.619115999999999889e-01,3.041100000000000053e-02,3.000000000000000062e-03,1.000000000000000000e+00
1.648029000000000022e-01,2.772799999999999918e-02,3.000000000000000062e-03,1.000000000000000000e+00
1.695340999999999931e-01,2.325599999999999890e-02,3.000000000000000062e-03,1.000000000000000000e+00
1.797848999999999975e-01,2.415000000000000133e-02,3.000000000000000062e-03,1.000000000000000000e+00
1.824134000000000033e-01,1.788899999999999865e-02,3.000000000000000062e-03,1.000000000000000000e+00
1.850418000000000063e-01,2.593900000000000025e-02,3.000000000000000062e-03,1.000000000000000000e+00
1.871445999999999943e-01,2.593900000000000025e-02,3.000000000000000062e-03,1.000000000000000000e+00
1.897729999999999972e-01,2.415000000000000133e-02,3.000000000000000062e-03,1.000000000000000000e+00
1.924014000000000002e-01,2.772799999999999918e-02,3.000000000000000062e-03,1.000000000000000000e+00
1.950299000000000060e-01,2.325599999999999890e-02,3.000000000000000062e-03,1.000000000000000000e+00
1.973955000000000015e-01,2.593900000000000025e-02,3.000000000000000062e-03,1.000000000000000000e+00
2.000239000000000045e-01,2.236099999999999893e-02,3.000000000000000062e-03,1.000000000000000000e+00
2.026523000000000074e-01,2.683400000000000021e-02,3.000000000000000062e-03,1.000000000000000000e+00
2.050179000000000029e-01,2.593900000000000025e-02,3.000000000000000062e-03,1.000000000000000000e+00
2.073834999999999984e-01,2.683400000000000021e-02,3.000000000000000062e-03,1.000000000000000000e+00
2.150060000000000027e-01,2.683400000000000021e-02,3.000000000000000062e-03,1.000000000000000000e+00
