Q,I_obs,err,I_fit,I_fit_over_I_obs
7.622499999999999935e-03,3.923356421402101613e-01,9.928440000000000182e-03,3.755007043347542428e-01,9.570904705123896017e-01
8.148100000000000134e-03,3.180956421402101331e-01,7.701239999999999822e-03,3.214100733922057307e-01,1.010419605970378720e+00
9.462399999999999284e-03,2.519066421402101352e-01,5.715569999999999679e-03,2.417797066849488585e-01,9.597988549677675119e-01
1.025090000000000029e-02,2.241786421402101326e-01,4.883729999999999322e-03,2.151321688621291306e-01,9.596461411679754194e-01
1.077660000000000076e-02,1.857166421402101364e-01,3.729869999999999713e-03,2.023862769529393701e-01,1.089758433173394270e+00
1.209080000000000051e-02,1.678276421402101481e-01,3.193200000000000205e-03,1.813711918104131404e-01,1.080699159551369748e+00
1.577059999999999920e-02,1.561996421402101487e-01,3.000000000000000062e-03,1.595407985305095366e-01,1.021390294782495323e+00
1.892469999999999916e-02,1.499386421402101599e-01,3.000000000000000062e-03,1.556686916258618880e-01,1.038215962235361944e+00
1.997610000000000011e-02,1.606716421402101524e-01,3.000000000000000062e-03,1.563060244594502990e-01,9.728289471458180238e-01
2.102750000000000105e-02,1.544106421402101359e-01,3.000000000000000062e-03,1.543518609068814385e-01,9.996193187690047832e-01
2.260449999999999959e-02,1.588836421402101406e-01,3.000000000000000062e-03,1.559357731286696858e-01,9.814463655802965203e-01
2.391880000000000048e-02,1.588836421402101406e-01,3.000000000000000062e-03,1.534771536359975652e-01,9.659720256195946098e-01
2.523299999999999849e-02,1.544106421402101359e-01,3.000000000000000062e-03,1.594280169100963374e-01,1.032493710927840480e+00
2.733570000000000097e-02,1.660386421402101353e-01,3.139529999999999751e-03,1.609588544468208982e-01,9.694059911119987660e-01
2.996419999999999986e-02,1.633556421402101444e-01,3.059039999999999850e-03,1.636213715387053458e-01,1.001626692503630345e+00
3.232970000000000288e-02,1.731946421402101588e-01,3.354209999999999831e-03,1.693187358200018422e-01,9.776210957087774212e-01
3.522100000000000231e-02,1.785616421402101417e-01,3.515219999999999890e-03,1.757101882505953949e-01,9.840309830519158307e-01
3.784950000000000120e-02,1.901886421402101401e-01,3.864029999999999635e-03,1.844158944172667181e-01,9.696472530747253238e-01
4.284349999999999964e-02,2.080786421402101294e-01,4.400729999999999399e-03,2.020048432114089632e-01,9.708100799470401610e-01
5.309439999999999993e-02,2.393836421402101289e-01,5.339879999999999106e-03,2.388973416680054696e-01,9.979685308993676562e-01
5.624849999999999989e-02,2.465396421402101523e-01,5.554560000000000053e-03,2.442365655232365540e-01,9.906583923097291855e-01
5.861410000000000231e-02,2.510116421402101561e-01,5.688719999999999541e-03,2.493792796966038117e-01,9.934968656047653557e-01
6.124249999999999833e-02,2.501176421402101502e-01,5.661900000000000092e-03,2.494574345862699827e-01,9.973604118914167760e-01
6.387099999999999722e-02,2.492226421402101433e-01,5.635049999999999955e-03,2.470857859813354318e-01,9.914259148345255790e-01
6.649940000000000018e-02,2.456456421402101464e-01,5.527739999999999737e-03,2.417382645984104683e-01,9.840934383864647916e-01
6.912780000000000313e-02,2.384896421402101507e-01,5.313059999999999658e-03,2.359312026377752003e-01,9.892723244520161829e-01
7.175629999999999509e-02,2.331226421402101401e-01,5.152050000000000032e-03,2.278339421519220975e-01,9.773136579967758308e-01
7.438469999999999804e-02,2.250726421402101385e-01,4.910549999999999637e-03,2.192074501180145130e-01,9.739408931870898734e-01
7.701310000000000100e-02,2.125506421402101331e-01,4.534889999999999755e-03,2.093710446294659022e-01,9.850407532119014320e-01
7.937869999999999648e-02,2.018166421402101396e-01,4.212869999999999636e-03,2.005069741653945914e-01,9.935106046710178163e-01
8.200720000000000232e-02,1.955556421402101508e-01,4.025040000000000562e-03,1.909475540517161507e-01,9.764359236171253897e-01
8.463560000000000527e-02,1.767726421402101566e-01,3.461549999999999870e-03,1.819521529957403294e-01,1.029300409796567672e+00
8.989250000000000018e-02,1.660386421402101353e-01,3.139529999999999751e-03,1.665840876296574291e-01,1.003285051494137603e+00
9.252090000000000314e-02,1.606716421402101524e-01,3.000000000000000062e-03,1.603735511970837968e-01,9.981447196334358729e-01
9.514930000000000609e-02,1.535166421402101578e-01,3.000000000000000062e-03,1.550749702264435093e-01,1.010150873967202267e+00
9.751490000000000158e-02,1.544106421402101359e-01,3.000000000000000062e-03,1.509343722628601614e-01,9.774868504581866180e-01
1.001433999999999935e-01,1.436776421402101434e-01,3.000000000000000062e-03,1.469410984344211579e-01,1.022713737820295732e+00
1.027717999999999965e-01,1.454666421402101562e-01,3.000000000000000062e-03,1.434498204354485995e-01,9.861355038166234044e-01
1.054001999999999994e-01,1.347326421402101349e-01,3.000000000000000062e-03,1.403241278291119110e-01,1.041500601488115851e+00
1.106570999999999944e-01,1.266826421402101610e-01,3.000000000000000062e-03,1.346949516023019933e-01,1.063247097840159805e+00
1.132854999999999973e-01,1.195276421402101386e-01,3.000000000000000062e-03,1.320513731115064704e-01,1.104776859536855449e+00
1.156511000000000067e-01,1.168436421402101466e-01,3.000000000000000062e-03,1.297295714987309057e-01,1.110283530387198070e+00
1.182795999999999986e-01,1.195276421402101386e-01,3.000000000000000062e-03,1.271946292271144419e-01,1.064144050276760733e+00
1.209080000000000016e-01,1.186326421402101455e-01,3.000000000000000062e-03,1.247088016030441920e-01,1.051218276464353840e+00
1.235364000000000045e-01,1.150546421402101477e-01,3.000000000000000062e-03,1.222349227553477941e-01,1.062407569843096589e+00
1.261648999999999965e-01,1.141606421402101557e-01,3.000000000000000062e-03,1.198149788805623894e-01,1.049529650800384184e+00
1.287932999999999995e-01,1.105826421402101578e-01,3.000000000000000062e-03,1.174466614944648102e-01,1.062071399465673860e+00
1.337872999999999979e-01,1.052156421402101472e-01,3.000000000000000062e-03,1.131029261051169910e-01,1.074963035956158164e+00
1.364158000000000037e-01,1.043216421402101413e-01,3.000000000000000062e-03,1.109121042984493599e-01,1.063174448015125284e+00
1.443010999999999877e-01,1.016376421402101493e-01,3.000000000000000062e-03,1.047526317624292436e-01,1.030647991793453233e+00
1.469294999999999907e-01,9.537664214021014664e-02,3.000000000000000062e-03,1.028411871221376339e-01,1.078263868536639247e+00
1.492950999999999862e-01,9.448264214021015461e-02,3.000000000000000062e-03,1.011846594198863025e-01,1.070933846978268322e+00
