Q,I,err,count
1.445639999999999946e-02,5.298462967046039251e-01,1.451699999999999866e-02,1.000000000000000000e+00
1.577059999999999920e-02,5.003292967046039097e-01,1.363148999999999958e-02,1.000000000000000000e+00
1.734770000000000062e-02,4.663402967046039183e-01,1.261181999999999928e-02,1.000000000000000000e+00
1.866189999999999863e-02,4.502392967046039418e-01,1.212879000000000040e-02,1.000000000000000000e+00
1.971329999999999957e-02,4.305612967046039130e-01,1.153844999999999871e-02,1.000000000000000000e+00
2.129030000000000158e-02,4.037282967046039173e-01,1.073345999999999849e-02,1.000000000000000000e+00
2.260449999999999959e-02,3.876282967046039141e-01,1.025045999999999943e-02,1.000000000000000000e+00
2.418160000000000101e-02,3.625832967046039301e-01,9.499109999999999845e-03,1.000000000000000000e+00
2.549579999999999902e-02,3.437992967046039072e-01,8.935589999999998465e-03,1.000000000000000000e+00
2.733570000000000097e-02,3.294882967046039446e-01,8.506259999999999863e-03,1.000000000000000000e+00
2.970129999999999992e-02,2.990772967046039232e-01,7.593929999999999604e-03,1.000000000000000000e+00
3.259259999999999935e-02,2.793992967046039499e-01,7.003589999999999642e-03,1.000000000000000000e+00
3.522100000000000231e-02,2.650872967046039586e-01,6.574229999999999484e-03,1.000000000000000000e+00
3.732379999999999726e-02,2.552482967046039164e-01,6.279059999999999503e-03,1.000000000000000000e+00
4.047789999999999722e-02,2.471982967046039148e-01,6.037559999999999108e-03,1.000000000000000000e+00
4.310630000000000017e-02,2.319932967046039463e-01,5.581409999999999323e-03,1.000000000000000000e+00
4.547190000000000260e-02,2.257312967046039565e-01,5.393549999999999560e-03,1.000000000000000000e+00
5.309439999999999993e-02,1.926372967046039442e-01,4.400729999999999399e-03,1.000000000000000000e+00
5.624849999999999989e-02,1.872702967046039335e-01,4.239719999999999774e-03,1.000000000000000000e+00
5.861410000000000231e-02,1.792202967046039319e-01,3.998220000000000246e-03,1.000000000000000000e+00
6.097969999999999779e-02,1.756422967046039618e-01,3.890880000000000206e-03,1.000000000000000000e+00
6.387099999999999722e-02,1.702752967046039512e-01,3.729869999999999713e-03,1.000000000000000000e+00
6.623660000000000658e-02,1.649082967046039405e-01,3.568859999999999654e-03,1.000000000000000000e+00
1.027717999999999965e-01,1.139252967046039400e-01,3.000000000000000062e-03,1.000000000000000000e+00
1.054001999999999994e-01,1.130302967046039470e-01,3.000000000000000062e-03,1.000000000000000000e+00
1.130227000000000037e-01,1.022972967046039405e-01,3.000000000000000062e-03,1.000000000000000000e+00
1.156511000000000067e-01,1.005082967046039416e-01,3.000000000000000062e-03,1.000000000000000000e+00
1.182795999999999986e-01,1.031912967046039464e-01,3.000000000000000062e-03,1.000000000000000000e+00
1.209080000000000016e-01,1.022972967046039405e-01,3.000000000000000062e-03,1.000000000000000000e+00
1.235364000000000045e-01,9.871929670460394268e-02,3.000000000000000062e-03,1.000000000000000000e+00
1.287932999999999995e-01,9.514129670460394483e-02,3.000000000000000062e-03,1.000000000000000000e+00
1.314217000000000024e-01,9.156329670460394698e-02,3.000000000000000062e-03,1.000000000000000000e+00
1.337872999999999979e-01,8.888029670460394216e-02,3.000000000000000062e-03,1.000000000000000000e+00
1.364158000000000037e-01,8.798529670460394914e-02,3.000000000000000062e-03,1.000000000000000000e+00
1.390442000000000067e-01,8.709129670460394324e-02,3.000000000000000062e-03,1.000000000000000000e+00
1.416726000000000096e-01,8.619629670460393633e-02,3.000000000000000062e-03,1.000000000000000000e+00
1.443010999999999877e-01,8.530229670460394431e-02,3.000000000000000062e-03,1.000000000000000000e+00
1.466667000000000110e-01,7.904129670460394164e-02,3.000000000000000062e-03,1.000000000000000000e+00
1.492950999999999862e-01,7.814629670460393474e-02,3.000000000000000062e-03,1.000000000000000000e+00
1.516607000000000094e-01,7.456929670460393789e-02,3.000000000000000062e-03,1.000000000000000000e+00
1.545519999999999949e-01,7.546329670460394379e-02,3.000000000000000062e-03,1.000000000000000000e+00
1.569175999999999904e-01,7.546329670460394379e-02,3.000000000000000062e-03,1.000000000000000000e+00
1.595459999999999934e-01,7.546329670460394379e-02,3.000000000000000062e-03,1.000000000000000000e+00
1.648029000000000022e-01,7.278029670460393896e-02,3.000000000000000062e-03,1.000000000000000000e+00
1.671684999999999977e-01,7.188529670460394594e-02,3.000000000000000062e-03,1.000000000000000000e+00
1.695340999999999931e-01,6.830729670460394809e-02,3.000000000000000062e-03,1.000000000000000000e+00
1.721624999999999961e-01,6.473029670460393736e-02,3.000000000000000062e-03,1.000000000000000000e+00
1.747908999999999990e-01,6.651829670460393529e-02,3.000000000000000062e-03,1.000000000000000000e+00
1.824134000000000033e-01,6.294129670460393844e-02,3.000000000000000062e-03,1.000000000000000000e+00
1.850418000000000063e-01,5.936329670460394059e-02,3.000000000000000062e-03,1.000000000000000000e+00
1.874074000000000018e-01,6.115229670460393951e-02,3.000000000000000062e-03,1.000000000000000000e+00
1.900358000000000047e-01,6.115229670460393951e-02,3.000000000000000062e-03,1.000000000000000000e+00
1.924014000000000002e-01,6.204629670460394542e-02,3.000000000000000062e-03,1.000000000000000000e+00
1.950299000000000060e-01,5.846829670460394063e-02,3.000000000000000062e-03,1.000000000000000000e+00
1.973955000000000015e-01,5.667929670460394170e-02,3.000000000000000062e-03,1.000000000000000000e+00
2.000239000000000045e-01,5.667929670460394170e-02,3.000000000000000062e-03,1.000000000000000000e+00
2.026523000000000074e-01,5.757429670460394167e-02,3.000000000000000062e-03,1.000000000000000000e+00
