Q,I,err,count
1.445639999999999946e-02,4.838999999999999968e-01,1.451699999999999866e-02,1.000000000000000000e+00
1.577059999999999920e-02,4.543829999999999814e-01,1.363148999999999958e-02,1.000000000000000000e+00
1.734770000000000062e-02,4.203939999999999899e-01,1.261181999999999928e-02,1.000000000000000000e+00
1.866189999999999863e-02,4.042930000000000135e-01,1.212879000000000040e-02,1.000000000000000000e+00
1.971329999999999957e-02,3.846149999999999847e-01,1.153844999999999871e-02,1.000000000000000000e+00
2.129030000000000158e-02,3.577819999999999889e-01,1.073345999999999849e-02,1.000000000000000000e+00
2.260449999999999959e-02,3.416819999999999857e-01,1.025045999999999943e-02,1.000000000000000000e+00
2.418160000000000101e-02,3.166370000000000018e-01,9.499109999999999845e-03,1.000000000000000000e+00
2.549579999999999902e-02,2.978529999999999789e-01,8.935589999999998465e-03,1.000000000000000000e+00
2.733570000000000097e-02,2.835420000000000162e-01,8.506259999999999863e-03,1.000000000000000000e+00
2.970129999999999992e-02,2.531309999999999949e-01,7.593929999999999604e-03,1.000000000000000000e+00
3.259259999999999935e-02,2.334529999999999939e-01,7.003589999999999642e-03,1.000000000000000000e+00
3.522100000000000231e-02,2.191410000000000025e-01,6.574229999999999484e-03,1.000000000000000000e+00
3.732379999999999726e-02,2.093019999999999881e-01,6.279059999999999503e-03,1.000000000000000000e+00
4.047789999999999722e-02,2.012519999999999865e-01,6.037559999999999108e-03,1.000000000000000000e+00
4.310630000000000017e-02,1.860469999999999902e-01,5.581409999999999323e-03,1.000000000000000000e+00
4.547190000000000260e-02,1.797850000000000004e-01,5.393549999999999560e-03,1.000000000000000000e+00
5.309439999999999993e-02,1.466909999999999881e-01,4.400729999999999399e-03,1.000000000000000000e+00
5.624849999999999989e-02,1.413240000000000052e-01,4.239719999999999774e-03,1.000000000000000000e+00
5.861410000000000231e-02,1.332740000000000036e-01,3.998220000000000246e-03,1.000000000000000000e+00
6.097969999999999779e-02,1.296960000000000057e-01,3.890880000000000206e-03,1.000000000000000000e+00
6.387099999999999722e-02,1.243289999999999951e-01,3.729869999999999713e-03,1.000000000000000000e+00
6.623660000000000658e-02,1.189619999999999983e-01,3.568859999999999654e-03,1.000000000000000000e+00
1.027717999999999965e-01,6.797899999999999776e-02,3.000000000000000062e-03,1.000000000000000000e+00
1.054001999999999994e-01,6.708400000000000474e-02,3.000000000000000062e-03,1.000000000000000000e+00
1.130227000000000037e-01,5.635099999999999831e-02,3.000000000000000062e-03,1.000000000000000000e+00
1.156511000000000067e-01,5.456199999999999939e-02,3.000000000000000062e-03,1.000000000000000000e+00
1.182795999999999986e-01,5.724499999999999728e-02,3.000000000000000062e-03,1.000000000000000000e+00
1.209080000000000016e-01,5.635099999999999831e-02,3.000000000000000062e-03,1.000000000000000000e+00
1.235364000000000045e-01,5.277300000000000046e-02,3.000000000000000062e-03,1.000000000000000000e+00
1.287932999999999995e-01,4.919500000000000262e-02,3.000000000000000062e-03,1.000000000000000000e+00
1.314217000000000024e-01,4.561699999999999783e-02,3.000000000000000062e-03,1.000000000000000000e+00
1.337872999999999979e-01,4.293399999999999994e-02,3.000000000000000062e-03,1.000000000000000000e+00
1.364158000000000037e-01,4.203899999999999998e-02,3.000000000000000062e-03,1.000000000000000000e+00
1.390442000000000067e-01,4.114500000000000102e-02,3.000000000000000062e-03,1.000000000000000000e+00
1.416726000000000096e-01,4.025000000000000105e-02,3.000000000000000062e-03,1.000000000000000000e+00
1.443010999999999877e-01,3.935600000000000209e-02,3.000000000000000062e-03,1.000000000000000000e+00
1.466667000000000110e-01,3.309499999999999942e-02,3.000000000000000062e-03,1.000000000000000000e+00
1.492950999999999862e-01,3.219999999999999946e-02,3.000000000000000062e-03,1.000000000000000000e+00
1.516607000000000094e-01,2.862299999999999914e-02,3.000000000000000062e-03,1.000000000000000000e+00
1.545519999999999949e-01,2.951700000000000157e-02,3.000000000000000062e-03,1.000000000000000000e+00
1.569175999999999904e-01,2.951700000000000157e-02,3.000000000000000062e-03,1.000000000000000000e+00
1.595459999999999934e-01,2.951700000000000157e-02,3.000000000000000062e-03,1.000000000000000000e+00
1.648029000000000022e-01,2.683400000000000021e-02,3.000000000000000062e-03,1.000000000000000000e+00
1.671684999999999977e-01,2.593900000000000025e-02,3.000000000000000062e-03,1.000000000000000000e+00
1.695340999999999931e-01,2.236099999999999893e-02,3.000000000000000062e-03,1.000000000000000000e+00
1.721624999999999961e-01,1.878399999999999861e-02,3.000000000000000062e-03,1.000000000000000000e+00
1.747908999999999990e-01,2.057200000000000001e-02,3.000000000000000062e-03,1.000000000000000000e+00
1.824134000000000033e-01,1.699499999999999969e-02,3.000000000000000062e-03,1.000000000000000000e+00
1.850418000000000063e-01,1.341700000000000011e-02,3.000000000000000062e-03,1.000000000000000000e+00
1.874074000000000018e-01,1.520600000000000077e-02,3.000000000000000062e-03,1.000000000000000000e+00
1.900358000000000047e-01,1.520600000000000077e-02,3.000000000000000062e-03,1.000000000000000000e+00
1.924014000000000002e-01,1.609999999999999973e-02,3.000000000000000062e-03,1.000000000000000000e+00
1.950299000000000060e-01,1.252200000000000014e-02,3.000000000000000062e-03,1.000000000000000000e+00
1.973955000000000015e-01,1.073299999999999949e-02,3.000000000000000062e-03,1.000000000000000000e+00
2.000239000000000045e-01,1.073299999999999949e-02,3.000000000000000062e-03,1.000000000000000000e+00
2.026523000000000074e-01,1.162799999999999945e-02,3.000000000000000062e-03,1.000000000000000000e+00
