Q,I_obs,err,I_fit,I_fit_over_I_obs
1.445639999999999946e-02,5.298462967046039251e-01,1.451699999999999866e-02,5.392284689361673822e-01,1.017707346998395934e+00
1.577059999999999920e-02,5.003292967046039097e-01,1.363148999999999958e-02,5.102819775661152635e-01,1.019892260811158247e+00
1.734770000000000062e-02,4.663402967046039183e-01,1.261181999999999928e-02,4.796344476886019725e-01,1.028507403451816682e+00
1.866189999999999863e-02,4.502392967046039418e-01,1.212879000000000040e-02,4.380417200506213637e-01,9.729086804655675547e-01
1.971329999999999957e-02,4.305612967046039130e-01,1.153844999999999871e-02,4.141618141312160550e-01,9.619113870686823997e-01
2.129030000000000158e-02,4.037282967046039173e-01,1.073345999999999849e-02,3.903408462108116095e-01,9.668404454107720758e-01
2.260449999999999959e-02,3.876282967046039141e-01,1.025045999999999943e-02,3.718954822851839870e-01,9.594126265982865220e-01
2.418160000000000101e-02,3.625832967046039301e-01,9.499109999999999845e-03,3.530144156301204261e-01,9.736091508862879662e-01
2.549579999999999902e-02,3.437992967046039072e-01,8.935589999999998465e-03,3.403756967153498403e-01,9.900418644771235011e-01
2.733570000000000097e-02,3.294882967046039446e-01,8.506259999999999863e-03,3.229484424742015691e-01,9.801514824780998003e-01
2.970129999999999992e-02,2.990772967046039232e-01,7.593929999999999604e-03,3.045753096890504441e-01,1.018383250902113346e+00
3.259259999999999935e-02,2.793992967046039499e-01,7.003589999999999642e-03,2.851687180290613521e-01,1.020649376689581000e+00
3.522100000000000231e-02,2.650872967046039586e-01,6.574229999999999484e-03,2.693652395242838726e-01,1.016137864291728032e+00
3.732379999999999726e-02,2.552482967046039164e-01,6.279059999999999503e-03,2.589422107286643571e-01,1.014471845931004923e+00
4.047789999999999722e-02,2.471982967046039148e-01,6.037559999999999108e-03,2.446426377988743239e-01,9.896615027700472744e-01
4.310630000000000017e-02,2.319932967046039463e-01,5.581409999999999323e-03,2.328077078841573611e-01,1.003510494445839063e+00
4.547190000000000260e-02,2.257312967046039565e-01,5.393549999999999560e-03,2.252985429900845882e-01,9.980828811917663579e-01
5.309439999999999993e-02,1.926372967046039442e-01,4.400729999999999399e-03,2.002457729106112416e-01,1.039496381729621000e+00
5.624849999999999989e-02,1.872702967046039335e-01,4.239719999999999774e-03,1.929015431097173272e-01,1.030070152630750524e+00
5.861410000000000231e-02,1.792202967046039319e-01,3.998220000000000246e-03,1.864656954783678877e-01,1.040427333884543337e+00
6.097969999999999779e-02,1.756422967046039618e-01,3.890880000000000206e-03,1.812919661003045413e-01,1.032165768164613695e+00
6.387099999999999722e-02,1.702752967046039512e-01,3.729869999999999713e-03,1.742732602840980638e-01,1.023479410442196036e+00
6.623660000000000658e-02,1.649082967046039405e-01,3.568859999999999654e-03,1.695163425003455016e-01,1.027943080413933563e+00
1.027717999999999965e-01,1.139252967046039400e-01,3.000000000000000062e-03,1.137042430077940536e-01,9.980596609953709120e-01
1.054001999999999994e-01,1.130302967046039470e-01,3.000000000000000062e-03,1.108550616545956741e-01,9.807552920462282442e-01
1.130227000000000037e-01,1.022972967046039405e-01,3.000000000000000062e-03,1.033248358260728111e-01,1.010044636120111861e+00
1.156511000000000067e-01,1.005082967046039416e-01,3.000000000000000062e-03,1.009842472096120353e-01,1.004735434990077669e+00
1.182795999999999986e-01,1.031912967046039464e-01,3.000000000000000062e-03,9.875970089226433768e-02,9.570545583410438040e-01
1.209080000000000016e-01,1.022972967046039405e-01,3.000000000000000062e-03,9.664347692496386144e-02,9.447314840003427916e-01
1.235364000000000045e-01,9.871929670460394268e-02,3.000000000000000062e-03,9.462276484009440880e-02,9.585032308651112443e-01
1.287932999999999995e-01,9.514129670460394483e-02,3.000000000000000062e-03,9.085961893066030193e-02,9.549966426541625086e-01
1.314217000000000024e-01,9.156329670460394698e-02,3.000000000000000062e-03,8.909166944506199948e-02,9.730063535445238054e-01
1.337872999999999979e-01,8.888029670460394216e-02,3.000000000000000062e-03,8.755327263050978470e-02,9.850695359568324427e-01
1.364158000000000037e-01,8.798529670460394914e-02,3.000000000000000062e-03,8.592073334833898179e-02,9.765351321915024529e-01
1.390442000000000067e-01,8.709129670460394324e-02,3.000000000000000062e-03,8.434368694699723168e-02,9.684513853671733452e-01
1.416726000000000096e-01,8.619629670460393633e-02,3.000000000000000062e-03,8.282401747836180828e-02,9.608767504502080392e-01
1.443010999999999877e-01,8.530229670460394431e-02,3.000000000000000062e-03,8.135274795695018879e-02,9.536993855941443554e-01
1.466667000000000110e-01,7.904129670460394164e-02,3.000000000000000062e-03,8.006461103523074274e-02,1.012946578222915228e+00
1.492950999999999862e-01,7.814629670460393474e-02,3.000000000000000062e-03,7.867682444971645095e-02,1.006788904496881409e+00
1.516607000000000094e-01,7.456929670460393789e-02,3.000000000000000062e-03,7.747466033494759818e-02,1.038961928819750913e+00
1.545519999999999949e-01,7.546329670460394379e-02,3.000000000000000062e-03,7.604461961864279751e-02,1.007703386141668433e+00
1.569175999999999904e-01,7.546329670460394379e-02,3.000000000000000062e-03,7.490539275391101814e-02,9.926069496688330052e-01
1.595459999999999934e-01,7.546329670460394379e-02,3.000000000000000062e-03,7.368194763432808769e-02,9.763944970857975081e-01
1.648029000000000022e-01,7.278029670460393896e-02,3.000000000000000062e-03,7.133720154832029481e-02,9.801718978676222660e-01
1.671684999999999977e-01,7.188529670460394594e-02,3.000000000000000062e-03,7.032536540532763336e-02,9.782997167600699928e-01
1.695340999999999931e-01,6.830729670460394809e-02,3.000000000000000062e-03,6.934673382241121620e-02,1.015217072962238953e+00
1.721624999999999961e-01,6.473029670460393736e-02,3.000000000000000062e-03,6.828547390373233827e-02,1.054922924505543591e+00
1.747908999999999990e-01,6.651829670460393529e-02,3.000000000000000062e-03,6.725486143658945815e-02,1.011073114744000190e+00
1.824134000000000033e-01,6.294129670460393844e-02,3.000000000000000062e-03,6.443351512599848618e-02,1.023708097855019261e+00
1.850418000000000063e-01,5.936329670460394059e-02,3.000000000000000062e-03,6.351469669541115470e-02,1.069932099820279259e+00
1.874074000000000018e-01,6.115229670460393951e-02,3.000000000000000062e-03,6.270529154427263718e-02,1.025395527614775260e+00
1.900358000000000047e-01,6.115229670460393951e-02,3.000000000000000062e-03,6.183650264458706580e-02,1.011188556715836517e+00
1.924014000000000002e-01,6.204629670460394542e-02,3.000000000000000062e-03,6.107009962888772237e-02,9.842666343107664417e-01
1.950299000000000060e-01,5.846829670460394063e-02,3.000000000000000062e-03,6.024491522277485023e-02,1.030386014614840251e+00
1.973955000000000015e-01,5.667929670460394170e-02,3.000000000000000062e-03,5.952067973208183260e-02,1.050130880104006126e+00
2.000239000000000045e-01,5.667929670460394170e-02,3.000000000000000062e-03,5.873623277828639994e-02,1.036290783289048445e+00
2.026523000000000074e-01,5.757429670460394167e-02,3.000000000000000062e-03,5.797636497453645399e-02,1.006983468195806308e+00
