Q,I,err,count
8.148100000000000134e-03,5.308063344204143608e-01,1.392666000000000043e-02,1.000000000000000000e+00
8.673800000000000607e-03,4.619333344204143432e-01,1.186046999999999969e-02,1.000000000000000000e+00
9.462399999999999284e-03,4.127383344204143545e-01,1.038462000000000066e-02,1.000000000000000000e+00
1.025090000000000029e-02,3.769603344204143225e-01,9.311279999999999904e-03,1.000000000000000000e+00
1.077660000000000076e-02,3.313423344204143306e-01,7.942740000000000217e-03,1.000000000000000000e+00
1.209080000000000051e-02,3.125593344204143365e-01,7.379249999999999525e-03,1.000000000000000000e+00
1.287929999999999978e-02,3.080873344204143049e-01,7.245089999999999170e-03,1.000000000000000000e+00
1.419349999999999952e-02,2.857253344204143120e-01,6.574229999999999484e-03,1.000000000000000000e+00
1.524490000000000046e-02,2.857253344204143120e-01,6.574229999999999484e-03,1.000000000000000000e+00
1.708480000000000068e-02,2.848313344204143061e-01,6.547410000000000035e-03,1.000000000000000000e+00
1.866189999999999863e-02,2.705203344204143434e-01,6.118079999999999699e-03,1.000000000000000000e+00
2.023890000000000064e-02,2.696253344204143088e-01,6.091229999999999561e-03,1.000000000000000000e+00
2.102750000000000105e-02,2.696253344204143088e-01,6.091229999999999561e-03,1.000000000000000000e+00
2.234169999999999906e-02,2.553143344204143461e-01,5.661900000000000092e-03,1.000000000000000000e+00
2.444440000000000154e-02,2.499473344204143355e-01,5.500889999999999599e-03,1.000000000000000000e+00
2.523299999999999849e-02,2.499473344204143355e-01,5.500889999999999599e-03,1.000000000000000000e+00
2.733570000000000097e-02,2.472643344204143445e-01,5.420399999999999698e-03,1.000000000000000000e+00
3.232970000000000288e-02,2.365303344204143232e-01,5.098380000000000446e-03,1.000000000000000000e+00
3.495820000000000177e-02,2.338473344204143323e-01,5.017889999999999677e-03,1.000000000000000000e+00
3.784950000000000120e-02,2.338473344204143323e-01,5.017889999999999677e-03,1.000000000000000000e+00
4.021509999999999668e-02,2.284803344204143216e-01,4.856880000000000051e-03,1.000000000000000000e+00
4.284349999999999964e-02,2.275863344204143157e-01,4.830059999999999736e-03,1.000000000000000000e+00
4.547190000000000260e-02,2.311643344204143413e-01,4.937399999999999775e-03,1.000000000000000000e+00
4.810040000000000149e-02,2.275863344204143157e-01,4.830059999999999736e-03,1.000000000000000000e+00
5.099159999999999804e-02,2.302693344204143067e-01,4.910549999999999637e-03,1.000000000000000000e+00
5.362009999999999693e-02,2.275863344204143157e-01,4.830059999999999736e-03,1.000000000000000000e+00
5.598569999999999935e-02,2.266913344204143366e-01,4.803209999999999598e-03,1.000000000000000000e+00
5.861410000000000231e-02,2.275863344204143157e-01,4.830059999999999736e-03,1.000000000000000000e+00
6.097969999999999779e-02,2.266913344204143366e-01,4.803209999999999598e-03,1.000000000000000000e+00
6.387099999999999722e-02,2.266913344204143366e-01,4.803209999999999598e-03,1.000000000000000000e+00
6.649940000000000018e-02,2.249023344204142960e-01,4.749539999999999144e-03,1.000000000000000000e+00
6.912780000000000313e-02,2.204303344204143200e-01,4.615380000000000524e-03,1.000000000000000000e+00
7.175629999999999509e-02,2.168523344204143499e-01,4.508040000000000484e-03,1.000000000000000000e+00
7.438469999999999804e-02,2.096973344204143275e-01,4.293389999999999360e-03,1.000000000000000000e+00
7.675029999999999353e-02,2.016473344204143259e-01,4.051889999999999832e-03,1.000000000000000000e+00
7.937869999999999648e-02,1.935973344204143243e-01,3.810389999999999437e-03,1.000000000000000000e+00
8.200720000000000232e-02,1.900193344204143264e-01,3.703049999999999831e-03,1.000000000000000000e+00
8.463560000000000527e-02,1.819693344204143248e-01,3.461549999999999870e-03,1.000000000000000000e+00
8.726399999999999435e-02,1.757073344204143073e-01,3.273689999999999673e-03,1.000000000000000000e+00
8.989250000000000018e-02,1.712353344204143313e-01,3.139529999999999751e-03,1.000000000000000000e+00
