Q,I,err,count
7.359599999999999996e-03,4.459313232767440072e-01,1.159212000000000090e-02,1.000000000000000000e+00
8.148100000000000134e-03,3.484363232767440088e-01,8.667270000000001223e-03,1.000000000000000000e+00
8.673800000000000607e-03,3.072913232767439662e-01,7.432919999999999978e-03,1.000000000000000000e+00
9.462399999999999284e-03,2.715133232767439897e-01,6.359580000000000094e-03,1.000000000000000000e+00
1.025090000000000029e-02,2.384183232767439486e-01,5.366729999999999244e-03,1.000000000000000000e+00
1.077660000000000076e-02,1.874343232767439749e-01,3.837209999999999753e-03,1.000000000000000000e+00
1.209080000000000051e-02,1.668623232767439679e-01,3.220049999999999909e-03,1.000000000000000000e+00
1.287929999999999978e-02,1.516563232767439706e-01,3.000000000000000062e-03,1.000000000000000000e+00
1.445639999999999946e-02,1.418173232767439562e-01,3.000000000000000062e-03,1.000000000000000000e+00
1.524490000000000046e-02,1.418173232767439562e-01,3.000000000000000062e-03,1.000000000000000000e+00
1.708480000000000068e-02,1.310833232767439627e-01,3.000000000000000062e-03,1.000000000000000000e+00
1.839899999999999869e-02,1.266113232767439589e-01,3.000000000000000062e-03,1.000000000000000000e+00
1.997610000000000011e-02,1.248223232767439739e-01,3.000000000000000062e-03,1.000000000000000000e+00
2.155320000000000152e-02,1.239283232767439680e-01,3.000000000000000062e-03,1.000000000000000000e+00
2.234169999999999906e-02,1.239283232767439680e-01,3.000000000000000062e-03,1.000000000000000000e+00
2.444440000000000154e-02,1.248223232767439739e-01,3.000000000000000062e-03,1.000000000000000000e+00
2.523299999999999849e-02,1.257173232767439530e-01,3.000000000000000062e-03,1.000000000000000000e+00
2.733570000000000097e-02,1.257173232767439530e-01,3.000000000000000062e-03,1.000000000000000000e+00
2.996419999999999986e-02,1.310833232767439627e-01,3.000000000000000062e-03,1.000000000000000000e+00
3.259259999999999935e-02,1.489723232767439787e-01,3.000000000000000062e-03,1.000000000000000000e+00
4.047789999999999722e-02,1.901173232767439658e-01,3.917700000000000522e-03,1.000000000000000000e+00
