Q,I,err,count
7.359599999999999996e-03,3.864040000000000252e-01,1.159212000000000090e-02,1.000000000000000000e+00
8.148100000000000134e-03,2.889090000000000269e-01,8.667270000000001223e-03,1.000000000000000000e+00
8.673800000000000607e-03,2.477640000000000120e-01,7.432919999999999978e-03,1.000000000000000000e+00
9.462399999999999284e-03,2.119860000000000078e-01,6.359580000000000094e-03,1.000000000000000000e+00
1.025090000000000029e-02,1.788909999999999945e-01,5.366729999999999244e-03,1.000000000000000000e+00
1.077660000000000076e-02,1.279069999999999929e-01,3.837209999999999753e-03,1.000000000000000000e+00
1.209080000000000051e-02,1.073349999999999999e-01,3.220049999999999909e-03,1.000000000000000000e+00
1.287929999999999978e-02,9.212900000000000256e-02,3.000000000000000062e-03,1.000000000000000000e+00
1.445639999999999946e-02,8.229000000000000203e-02,3.000000000000000062e-03,1.000000000000000000e+00
1.524490000000000046e-02,8.229000000000000203e-02,3.000000000000000062e-03,1.000000000000000000e+00
1.708480000000000068e-02,7.155599999999999461e-02,3.000000000000000062e-03,1.000000000000000000e+00
1.839899999999999869e-02,6.708400000000000474e-02,3.000000000000000062e-03,1.000000000000000000e+00
1.997610000000000011e-02,6.529500000000000581e-02,3.000000000000000062e-03,1.000000000000000000e+00
2.155320000000000152e-02,6.440099999999999991e-02,3.000000000000000062e-03,1.000000000000000000e+00
2.234169999999999906e-02,6.440099999999999991e-02,3.000000000000000062e-03,1.000000000000000000e+00
2.444440000000000154e-02,6.529500000000000581e-02,3.000000000000000062e-03,1.000000000000000000e+00
2.523299999999999849e-02,6.618999999999999884e-02,3.000000000000000062e-03,1.000000000000000000e+00
2.733570000000000097e-02,6.618999999999999884e-02,3.000000000000000062e-03,1.000000000000000000e+00
2.996419999999999986e-02,7.155599999999999461e-02,3.000000000000000062e-03,1.000000000000000000e+00
3.259259999999999935e-02,8.944499999999999673e-02,3.000000000000000062e-03,1.000000000000000000e+00
4.047789999999999722e-02,1.305900000000000116e-01,3.917700000000000522e-03,1.000000000000000000e+00
4.310630000000000017e-02,1.359569999999999945e-01,4.078709999999999281e-03,1.000000000000000000e+00
4.547190000000000260e-02,1.538460000000000105e-01,4.615380000000000524e-03,1.000000000000000000e+00
5.335720000000000046e-02,1.976739999999999886e-01,5.930219999999999068e-03,1.000000000000000000e+00
