Q,I_obs,err,I_fit,I_fit_over_I_obs
7.359599999999999996e-03,3.864040000000000252e-01,1.159212000000000090e-02,2.733085987252766857e-01,7.073130679943185894e-01
8.148100000000000134e-03,2.889090000000000269e-01,8.667270000000001223e-03,2.308203698211981902e-01,7.989379694685806443e-01
8.673800000000000607e-03,2.477640000000000120e-01,7.432919999999999978e-03,2.074218886279758089e-01,8.371752499474330866e-01
9.462399999999999284e-03,2.119860000000000078e-01,6.359580000000000094e-03,1.784046921921245976e-01,8.415871434534573092e-01
1.025090000000000029e-02,1.788909999999999945e-01,5.366729999999999244e-03,1.554437931343391754e-01,8.689302040591152521e-01
1.077660000000000076e-02,1.279069999999999929e-01,3.837209999999999753e-03,1.428687272322422541e-01,1.116973482547806373e+00
1.209080000000000051e-02,1.073349999999999999e-01,3.220049999999999909e-03,1.188215230132988326e-01,1.107015633421519762e+00
1.287929999999999978e-02,9.212900000000000256e-02,3.000000000000000062e-03,1.082604182597418502e-01,1.175095987796913599e+00
1.445639999999999946e-02,8.229000000000000203e-02,3.000000000000000062e-03,9.329465317354924958e-02,1.133730139428232420e+00
1.524490000000000046e-02,8.229000000000000203e-02,3.000000000000000062e-03,8.803073207426105606e-02,1.069762207731936421e+00
1.708480000000000068e-02,7.155599999999999461e-02,3.000000000000000062e-03,7.965828414946803104e-02,1.113229975815697381e+00
1.839899999999999869e-02,6.708400000000000474e-02,3.000000000000000062e-03,7.600402200435527056e-02,1.132967950693984704e+00
1.997610000000000011e-02,6.529500000000000581e-02,3.000000000000000062e-03,7.425102615341414025e-02,1.137162510964302431e+00
2.155320000000000152e-02,6.440099999999999991e-02,3.000000000000000062e-03,7.612699817875860642e-02,1.182077889765044132e+00
2.234169999999999906e-02,6.440099999999999991e-02,3.000000000000000062e-03,7.076619338893090638e-02,1.098836871926381686e+00
2.444440000000000154e-02,6.529500000000000581e-02,3.000000000000000062e-03,7.076462857342534496e-02,1.083767954260285382e+00
2.523299999999999849e-02,6.618999999999999884e-02,3.000000000000000062e-03,7.485506684372064679e-02,1.130912023624726537e+00
2.733570000000000097e-02,6.618999999999999884e-02,3.000000000000000062e-03,7.398911405607960790e-02,1.117829189546451163e+00
2.996419999999999986e-02,7.155599999999999461e-02,3.000000000000000062e-03,7.267443733823913954e-02,1.015630238390060169e+00
3.259259999999999935e-02,8.944499999999999673e-02,3.000000000000000062e-03,7.835861966956887692e-02,8.760536605687168077e-01
4.047789999999999722e-02,1.305900000000000116e-01,3.917700000000000522e-03,8.876987473689039454e-02,6.797601251006232248e-01
4.310630000000000017e-02,1.359569999999999945e-01,4.078709999999999281e-03,9.348675551171035936e-02,6.876200233287756980e-01
4.547190000000000260e-02,1.538460000000000105e-01,4.615380000000000524e-03,9.747560993510902272e-02,6.335920981703068167e-01
5.335720000000000046e-02,1.976739999999999886e-01,5.930219999999999068e-03,1.113086154351109192e-01,5.630918352191534026e-01
5.598569999999999935e-02,2.093019999999999881e-01,6.279059999999999503e-03,1.148635678885855244e-01,5.487934558130621587e-01
5.861410000000000231e-02,2.128800000000000137e-01,6.386400000000000410e-03,1.170635424600364460e-01,5.499039010711971320e-01
6.124249999999999833e-02,2.155640000000000056e-01,6.466920000000000134e-03,1.182595401257699880e-01,5.486052407905308570e-01
6.387099999999999722e-02,2.137749999999999928e-01,6.413249999999999680e-03,1.184290100787472183e-01,5.539890542801881868e-01
6.649940000000000018e-02,2.101969999999999950e-01,6.305909999999999641e-03,1.173736227134353494e-01,5.583981822453952804e-01
6.912780000000000313e-02,2.021469999999999934e-01,6.064409999999999246e-03,1.146920577965110516e-01,5.673695765779905864e-01
7.175629999999999509e-02,1.887300000000000089e-01,5.661900000000000092e-03,1.110992854594298335e-01,5.886678612802936916e-01
7.464759999999999451e-02,1.753129999999999966e-01,5.259390000000000072e-03,1.062063408990255309e-01,6.058098423906129737e-01
7.701310000000000100e-02,1.610020000000000062e-01,4.830059999999999736e-03,1.016809112307614366e-01,6.315506095002635378e-01
7.964160000000000683e-02,1.484789999999999999e-01,4.454370000000000031e-03,9.654774591074138934e-02,6.502451249721602489e-01
8.226999999999999591e-02,1.395349999999999924e-01,4.186049999999999320e-03,9.144565570372227559e-02,6.553599864100210226e-01
8.489839999999999887e-02,1.279069999999999929e-01,3.837209999999999753e-03,8.671457807524260430e-02,6.779502144154941901e-01
8.752690000000000470e-02,1.144899999999999946e-01,3.434699999999999732e-03,8.236865883528513010e-02,7.194397662266148741e-01
8.989250000000000018e-02,1.037570000000000020e-01,3.112709999999999869e-03,7.887662926969514487e-02,7.602053766945376934e-01
9.252090000000000314e-02,9.928399999999999725e-02,3.000000000000000062e-03,7.553933108922242234e-02,7.608409319650942804e-01
9.514930000000000609e-02,9.212900000000000256e-02,3.000000000000000062e-03,7.268796195579743658e-02,7.889802554656778488e-01
9.751490000000000158e-02,8.586799999999999988e-02,3.000000000000000062e-03,7.052349916338418456e-02,8.213012899262144284e-01
1.001433999999999935e-01,8.229000000000000203e-02,3.000000000000000062e-03,6.845236899796330876e-02,8.318431036330453665e-01
1.027717999999999965e-01,7.781799999999999828e-02,3.000000000000000062e-03,6.670276571021918621e-02,8.571637116119559252e-01
1.054001999999999994e-01,7.424000000000000044e-02,3.000000000000000062e-03,6.517349694358103018e-02,8.778757670202186336e-01
1.080287000000000053e-01,6.976699999999999569e-02,3.000000000000000062e-03,6.379850510808317277e-02,9.144510314057244793e-01
1.106570999999999944e-01,6.529500000000000581e-02,3.000000000000000062e-03,6.253937598876838089e-02,9.577973196840244841e-01
1.130227000000000037e-01,5.724499999999999728e-02,3.000000000000000062e-03,6.140227396144766481e-02,1.072622481639403658e+00
1.156511000000000067e-01,5.456199999999999939e-02,3.000000000000000062e-03,6.024592206149877172e-02,1.104173638457145445e+00
1.182795999999999986e-01,5.724499999999999728e-02,3.000000000000000062e-03,5.910515712931001947e-02,1.032494665548257862e+00
1.209080000000000016e-01,5.635099999999999831e-02,3.000000000000000062e-03,5.793645593411026612e-02,1.028135364662743578e+00
1.235364000000000045e-01,5.277300000000000046e-02,3.000000000000000062e-03,5.682302880089136476e-02,1.076744335188285051e+00
1.261648999999999965e-01,5.277300000000000046e-02,3.000000000000000062e-03,5.573297492762211564e-02,1.056088812984331327e+00
1.287932999999999995e-01,4.919500000000000262e-02,3.000000000000000062e-03,5.467299467164955795e-02,1.111352671443227136e+00
1.311588999999999949e-01,4.651199999999999779e-02,3.000000000000000062e-03,5.374261058925458578e-02,1.155456884013901453e+00
1.337872999999999979e-01,4.293399999999999994e-02,3.000000000000000062e-03,5.273439216249461298e-02,1.228266459274575340e+00
1.364158000000000037e-01,4.203899999999999998e-02,3.000000000000000062e-03,5.176516205033877133e-02,1.231360452207206801e+00
1.390442000000000067e-01,4.114500000000000102e-02,3.000000000000000062e-03,5.082330929139807635e-02,1.235224432893378799e+00
1.414098000000000022e-01,4.114500000000000102e-02,3.000000000000000062e-03,4.999694066434220291e-02,1.215140130376527017e+00
1.443010999999999877e-01,4.025000000000000105e-02,3.000000000000000062e-03,4.900942877451834601e-02,1.217625559615362674e+00
1.466667000000000110e-01,3.309499999999999942e-02,3.000000000000000062e-03,4.821788548019981246e-02,1.456953783961317805e+00
1.492950999999999862e-01,3.309499999999999942e-02,3.000000000000000062e-03,4.735517180779692109e-02,1.430885989055655561e+00
1.516607000000000094e-01,2.951700000000000157e-02,3.000000000000000062e-03,4.660001363301519151e-02,1.578751689975782968e+00
1.542891000000000123e-01,2.951700000000000157e-02,3.000000000000000062e-03,4.577946405846504419e-02,1.550952470049972609e+00
1.569175999999999904e-01,2.951700000000000157e-02,3.000000000000000062e-03,4.498527089346689156e-02,1.524046173170271024e+00
1.595459999999999934e-01,3.041100000000000053e-02,3.000000000000000062e-03,4.421567329804924895e-02,1.453936841868049390e+00
1.619115999999999889e-01,3.041100000000000053e-02,3.000000000000000062e-03,4.354051559519115516e-02,1.431735740198979201e+00
1.648029000000000022e-01,2.683400000000000021e-02,3.000000000000000062e-03,4.276131336284186985e-02,1.593549726572328851e+00
1.671684999999999977e-01,2.683400000000000021e-02,3.000000000000000062e-03,4.214170248604413860e-02,1.570459211673404631e+00
1.695340999999999931e-01,2.236099999999999893e-02,3.000000000000000062e-03,4.154936542609633660e-02,1.858117500384434351e+00
1.721624999999999961e-01,1.878399999999999861e-02,3.000000000000000062e-03,4.090881090528931258e-02,2.177854072896577620e+00
1.747908999999999990e-01,2.057200000000000001e-02,3.000000000000000062e-03,4.029777121347759283e-02,1.958865021071242163e+00
1.771564999999999945e-01,2.415000000000000133e-02,3.000000000000000062e-03,3.976317142249581604e-02,1.646508133436679566e+00
1.797848999999999975e-01,2.325599999999999890e-02,3.000000000000000062e-03,3.918861952656861602e-02,1.685097158865179745e+00
1.824134000000000033e-01,1.699499999999999969e-02,3.000000000000000062e-03,3.863317124092531529e-02,2.273208075370715786e+00
1.850418000000000063e-01,1.341700000000000011e-02,3.000000000000000062e-03,3.809500780103663997e-02,2.839308921594740909e+00
1.871445999999999943e-01,1.520600000000000077e-02,3.000000000000000062e-03,3.767496779597781509e-02,2.477638287253571825e+00
1.897729999999999972e-01,1.520600000000000077e-02,3.000000000000000062e-03,3.716180488377636426e-02,2.443890890686331918e+00
1.926643000000000105e-01,1.788899999999999865e-02,3.000000000000000062e-03,3.661190635382867431e-02,2.046615593595431548e+00
1.950299000000000060e-01,1.252200000000000014e-02,3.000000000000000062e-03,3.617279837386696423e-02,2.888739688058374444e+00
1.973955000000000015e-01,1.073299999999999949e-02,3.000000000000000062e-03,3.574189393177119173e-02,3.330093536920823105e+00
2.000239000000000045e-01,1.073299999999999949e-02,3.000000000000000062e-03,3.527368949374971863e-02,3.286470650680119121e+00
2.026523000000000074e-01,1.162799999999999945e-02,3.000000000000000062e-03,3.481422954488559707e-02,2.993999788861850586e+00
2.050179000000000029e-01,1.609999999999999973e-02,3.000000000000000062e-03,3.441104151607191769e-02,2.137331771184591389e+00
2.073834999999999984e-01,1.431100000000000080e-02,3.000000000000000062e-03,3.401247909058944391e-02,2.376666836041467334e+00
2.100119000000000014e-01,1.609999999999999973e-02,3.000000000000000062e-03,3.358517432207865777e-02,2.086035672178798706e+00
2.123774999999999968e-01,1.609999999999999973e-02,3.000000000000000062e-03,3.320524358854452796e-02,2.062437489971709947e+00
2.150060000000000027e-01,1.341700000000000011e-02,3.000000000000000062e-03,3.279650697008939381e-02,2.444399416418677529e+00
