Q,I_obs,err,I_fit,I_fit_over_I_obs
1.809999999999999977e-03,1.892061686018618616e+01,4.059709999999999930e+00,1.852925866273794497e+01,9.793157802232251852e-01
1.959999999999999937e-03,1.335151686018618555e+01,3.283069999999999933e+00,1.365142131922125301e+01,1.022462201274626281e+00
2.099999999999999870e-03,1.232971686018618485e+01,2.958159999999999901e+00,1.044194305012322133e+01,8.468923632659592915e-01
2.249999999999999830e-03,3.480806860186184348e+00,2.342270000000000074e+00,8.018250979291281055e+00,2.303561013684739311e+00
2.390000000000000197e-03,5.849786860186184434e+00,2.174440000000000150e+00,6.344331754143127888e+00,1.084540668878524405e+00
2.540000000000000157e-03,7.490036860186184420e+00,1.801509999999999945e+00,5.018955561787486808e+00,6.700842272841268654e-01
2.690000000000000117e-03,4.353846860186184387e+00,1.670639999999999903e+00,4.011447034799911826e+00,9.213569433235346828e-01
2.830000000000000050e-03,1.628616860186184567e+00,1.504000000000000004e+00,3.304195275461761394e+00,2.028835238193483548e+00
2.980000000000000010e-03,2.551726860186184442e+00,1.375450000000000061e+00,2.709711659815129625e+00,1.061912895966231174e+00
3.119999999999999944e-03,3.233816860186184527e+00,1.288659999999999917e+00,2.271035769602217425e+00,7.022771751741885282e-01
3.269999999999999903e-03,2.615796860186184514e+00,1.206169999999999964e+00,1.896019765413125446e+00,7.248344832397163318e-01
3.409999999999999837e-03,1.266546860186184675e+00,1.114419999999999966e+00,1.616003294670929291e+00,1.275912755753366934e+00
3.559999999999999797e-03,7.602068601861846631e-01,1.030839999999999979e+00,1.372363148576344116e+00,1.805249624082890136e+00
3.710000000000000190e-03,1.161326860186184584e+00,1.020280000000000076e+00,1.175019082798291148e+00,1.011790154074203807e+00
3.850000000000000124e-03,1.508286860186184741e+00,9.269500000000000517e-01,1.024114051586586083e+00,6.789915622948331508e-01
4.000000000000000083e-03,1.104796860186184615e+00,8.759900000000000464e-01,8.894017651132445357e-01,8.050364706534005599e-01
4.139999999999999583e-03,1.352716860186184755e+00,8.191000000000000503e-01,7.843845051304514371e-01,5.798586002857173405e-01
