Q,I_obs,err,I_fit,I_fit_over_I_obs
1.608726683749914536e-03,2.384255335002931702e+02,1.227150872727699671e+01,1.872758071806132989e+02,7.854687559308031197e-01
1.660631871481363072e-03,1.700840923938909839e+02,7.157575551778982970e+00,1.712054904901948760e+02,1.006593197991184852e+00
1.759861714213932938e-03,1.517355090250799776e+02,9.934183703044137559e+00,1.446883216493317263e+02,9.535561094365627710e-01
1.912149363681436886e-03,1.213254772127371979e+02,4.930646674062816537e+00,1.127591239937911070e+02,9.293936161163784959e-01
2.028626675082429581e-03,9.996965949315779199e+01,8.486869482629595396e+00,9.383971048107109425e+01,9.386819056585238297e-01
2.070033228428954340e-03,7.195512244290891601e+01,5.318935007619367994e+00,8.806539627768874823e+01,1.223893355856105369e+00
2.185198382459913307e-03,8.465046158928269904e+01,3.679073306700289425e+00,7.392511855052170233e+01,8.732984695251928553e-01
2.295401566914627520e-03,5.409924900546482007e+01,3.080700436644428386e+00,6.301610029266608137e+01,1.164823938430282535e+00
2.410882724418589394e-03,3.982220373162977012e+01,4.181985104659253771e+00,5.356339398619344649e+01,1.345063531570690030e+00
2.491554762408178247e-03,5.110409046764301166e+01,2.590844139893586195e+00,4.791246215581480783e+01,9.375465196108125898e-01
2.564270712874364578e-03,3.975576624328941477e+01,2.711123325315508481e+00,4.341852067286932737e+01,1.092131400692048393e+00
2.690243975063670145e-03,2.930071024809716818e+01,2.214589567968155759e+00,3.681966349766518931e+01,1.256613344383224140e+00
2.808753243102662771e-03,3.474525647406008488e+01,1.704547810946204889e+00,3.170837543890250743e+01,9.125958089437378185e-01
2.929624625046191918e-03,1.961337365955759182e+01,1.775618510013602158e+00,2.735429904980840021e+01,1.394675873952906597e+00
3.083374646050461663e-03,2.026954340736220672e+01,1.435026789054186569e+00,2.284461530989151612e+01,1.127041436049023293e+00
3.188396999187026546e-03,1.863308342122761729e+01,1.655356342879140241e+00,2.025202287766567721e+01,1.086885214853581028e+00
3.342703922838503785e-03,1.661366438808224899e+01,1.219552142026115948e+00,1.709661513924986309e+01,1.029069490022565869e+00
3.479584512124636077e-03,1.287701250429516264e+01,1.192827255098998673e+00,1.478179042263379372e+01,1.147920794338227690e+00
3.663338711021686765e-03,1.258430185472282048e+01,9.145687311162485900e-01,1.225672164099082551e+01,9.739691388911609904e-01
3.814171764191158151e-03,8.704157674578357984e+00,1.147039463106974244e+00,1.057196328799882679e+01,1.214587750274290334e+00
3.963039937061135082e-03,9.013633191730638927e+00,8.790542876039122433e-01,9.182848112394298212e+00,1.018773220194815865e+00
4.137725771273845221e-03,7.313389737642221000e+00,8.900911408706194683e-01,7.830819642420841831e+00,1.070751036570004588e+00
4.310886989258130159e-03,6.097330786742322317e+00,7.475357896225933718e-01,6.728068708004824039e+00,1.103444924233722313e+00
