Q,I_obs,err,I_fit,I_fit_over_I_obs
1.608726683749914536e-03,3.377807137376759670e+02,1.279218287413848465e+01,2.434860128549213698e+02,7.208404830478721825e-01
1.660631871481363072e-03,2.713470450268109175e+02,7.559454084875754987e+00,2.278898397524664290e+02,8.398464030811515491e-01
1.759861714213932938e-03,2.355508692572633436e+02,1.042305224423956567e+01,2.008805062831276302e+02,8.528115685437376303e-01
1.912149363681436886e-03,1.881109642227133065e+02,5.165908150954279243e+00,1.658235287532804136e+02,8.815197425544756271e-01
2.028626675082429581e-03,1.565840439338875285e+02,8.862979378560954302e+00,1.434731625916647317e+02,9.162693655570778306e-01
2.070033228428954340e-03,1.301980775219280133e+02,5.626328682334214015e+00,1.363780918081126572e+02,1.047466248379464782e+00
2.185198382459913307e-03,1.285094937125703041e+02,3.837501214528826310e+00,1.184331685437253867e+02,9.215908110930539632e-01
2.295401566914627520e-03,9.900294947827738667e+01,3.251235414100379195e+00,1.038680047060313143e+02,1.049140507968617575e+00
2.410882724418589394e-03,8.526410061151054265e+01,4.454588104760882850e+00,9.072250153392489835e+01,1.064017574609559480e+00
2.491554762408178247e-03,7.976651165240684804e+01,2.699890847671985838e+00,8.260849617032235415e+01,1.035628792823482414e+00
2.564270712874364578e-03,6.976256277927508620e+01,2.845909481024464061e+00,7.601021881919857037e+01,1.089555999536466535e+00
2.690243975063670145e-03,5.678870999553463861e+01,2.332405424137901306e+00,6.598832786383849225e+01,1.161997303144009175e+00
2.808753243102662771e-03,5.334470695519391370e+01,1.771479942573888966e+00,5.797282421153344956e+01,1.086758696794920098e+00
2.929624625046191918e-03,4.436405468198340429e+01,1.876121785298775047e+00,5.094545812129452855e+01,1.148349908196824032e+00
3.083374646050461663e-03,3.693679023276921214e+01,1.496202878184472507e+00,4.344348736641917696e+01,1.176157622052319551e+00
3.188396999187026546e-03,3.450128153993088631e+01,1.731021555842780391e+00,3.902372018682272170e+01,1.131080309050482180e+00
3.342703922838503785e-03,3.027937490980283641e+01,1.270697190555270861e+00,3.351397108497319977e+01,1.106825064414496129e+00
3.479584512124636077e-03,2.576051941827828173e+01,1.246277266037530973e+00,2.937720351043453348e+01,1.140396396261716960e+00
3.663338711021686765e-03,2.290023141235328197e+01,9.500963235992693212e-01,2.476084833826466181e+01,1.081248826372457117e+00
