Q,I_obs,err,I_fit,I_fit_over_I_obs
1.809999999999999977e-03,1.892061686018618616e+01,4.059709999999999930e+00,2.041503914174374756e+01,1.078983803361200478e+00
1.959999999999999937e-03,1.335151686018618555e+01,3.283069999999999933e+00,1.508245564389408955e+01,1.129643605429545561e+00
2.099999999999999870e-03,1.232971686018618485e+01,2.958159999999999901e+00,1.158964790322378491e+01,9.399768084413883118e-01
2.249999999999999830e-03,3.480806860186184348e+00,2.342270000000000074e+00,8.895196981590254737e+00,2.555498578026377920e+00
2.390000000000000197e-03,5.849786860186184434e+00,2.174440000000000150e+00,7.051341903774812181e+00,1.205401508175698799e+00
2.540000000000000157e-03,7.490036860186184420e+00,1.801509999999999945e+00,5.576354955823727089e+00,7.445030057816179880e-01
2.690000000000000117e-03,4.353846860186184387e+00,1.670639999999999903e+00,4.468640924930897818e+00,1.026366123667428409e+00
2.830000000000000050e-03,1.628616860186184567e+00,1.504000000000000004e+00,3.673839190700974644e+00,2.255803240475466431e+00
2.980000000000000010e-03,2.551726860186184442e+00,1.375450000000000061e+00,3.010727823355956456e+00,1.179878563937004410e+00
3.119999999999999944e-03,3.233816860186184527e+00,1.288659999999999917e+00,2.522138919949062696e+00,7.799263313272021270e-01
3.269999999999999903e-03,2.615796860186184514e+00,1.206169999999999964e+00,2.106176593330278290e+00,8.051759008458962974e-01
3.409999999999999837e-03,1.266546860186184675e+00,1.114419999999999966e+00,1.793297420379460272e+00,1.415895042458865216e+00
3.559999999999999797e-03,7.602068601861846631e-01,1.030839999999999979e+00,1.521529799845495967e+00,2.001468126021453298e+00
3.710000000000000190e-03,1.161326860186184584e+00,1.020280000000000076e+00,1.300702617237581959e+00,1.120014237015970249e+00
3.850000000000000124e-03,1.508286860186184741e+00,9.269500000000000517e-01,1.130568917277612995e+00,7.495715484374465554e-01
4.000000000000000083e-03,1.104796860186184615e+00,8.759900000000000464e-01,9.791677418748067074e-01,8.862875856741605496e-01
4.139999999999999583e-03,1.352716860186184755e+00,8.191000000000000503e-01,8.611537943698760467e-01,6.366105278316327443e-01
4.290000000000000410e-03,9.348268601861846605e-01,8.004200000000000204e-01,7.549095862108937682e-01,8.075394689242693103e-01
4.429999999999999910e-03,6.151668601861846053e-01,7.353399999999999936e-01,6.709582014522078586e-01,1.090693021482232572e+00
4.729999999999999830e-03,4.414068601861845798e-01,6.573200000000000154e-01,5.293855308062357379e-01,1.199314234905506371e+00
4.870000000000000197e-03,7.148768601861846816e-01,6.337699999999999445e-01,4.772487948145421877e-01,6.675958076055868995e-01
5.020000000000000157e-03,4.516568601861846721e-01,6.053699999999999637e-01,4.290513462853799420e-01,9.499498050544695760e-01
5.309999999999999616e-03,4.356686018618462219e-02,5.518499999999999517e-01,3.537248453844911156e-01,8.119126415647917483e+00
5.599999999999999943e-03,1.005768601861846134e-01,5.218500000000000361e-01,2.964201514076839628e-01,2.947200289002466445e+00
5.749999999999999903e-03,4.559368601861846226e-01,5.136600000000000055e-01,2.721515932473665966e-01,5.969063197396056175e-01
5.890000000000000270e-03,4.020068601861845892e-01,5.121599999999999486e-01,2.521718133562520503e-01,6.272823633891763118e-01
6.040000000000000230e-03,4.112768601861845896e-01,4.770199999999999996e-01,2.332139078524630704e-01,5.670484542866996991e-01
6.329999999999999689e-03,6.196268601861846248e-01,4.725400000000000156e-01,2.025870988189421296e-01,3.269501563538885769e-01
6.470000000000000057e-03,1.101068601861846241e-01,4.602800000000000225e-01,1.901738428476197618e-01,1.727175241633866376e+00
6.620000000000000016e-03,1.912968601861846085e-01,4.472800000000000109e-01,1.782497158892475120e-01,9.317963489613022565e-01
6.769999999999999976e-03,2.727368601861845931e-01,4.437400000000000233e-01,1.676185340071103813e-01,6.145796864152689443e-01
6.910000000000000343e-03,2.498268601861846350e-01,4.428699999999999859e-01,1.587309683575974517e-01,6.353639005801956507e-01
7.060000000000000303e-03,2.923368601861846550e-01,4.374700000000000255e-01,1.501395935298398820e-01,5.135842036280282574e-01
7.199999999999999803e-03,3.675268601861846340e-01,4.222799999999999887e-01,1.429067985127915608e-01,3.888336173317964439e-01
7.349999999999999763e-03,2.119686018618462120e-02,4.250999999999999779e-01,1.359261722215767687e-01,6.412561625998209891e+00
7.499999999999999722e-03,4.295468601861845981e-01,4.093899999999999761e-01,1.296095717254821533e-01,3.017355816995231366e-01
7.790000000000000049e-03,3.727868601861845654e-01,4.065199999999999925e-01,1.190813280033128918e-01,3.194354220098823971e-01
7.929999999999999549e-03,7.463686018618462259e-02,4.052899999999999836e-01,1.146522185798965199e-01,1.536133999928346316e+00
8.009999999999999759e-03,2.246368601861846448e-01,3.185999999999999943e-02,1.123135382901343515e-01,4.999782235072466885e-01
8.810000000000000123e-03,1.516468601861846177e-01,2.401000000000000009e-02,9.413477811126745587e-02,6.207499317539009187e-01
9.610000000000000486e-03,1.216568601861846288e-01,1.813999999999999987e-02,8.278064239300052252e-02,6.804436861703677675e-01
1.041000000000000085e-02,8.802686018618460784e-02,1.490000000000000005e-02,7.544056072135311986e-02,8.570175121751434366e-01
1.120999999999999948e-02,7.538686018618462326e-02,1.323000000000000044e-02,7.131111743884505083e-02,9.459356347077777505e-01
1.200999999999999984e-02,6.045686018618462443e-02,1.128999999999999969e-02,6.839796168348152849e-02,1.131351536828761217e+00
1.281000000000000021e-02,6.939686018618461405e-02,1.050000000000000065e-02,6.681309798396176114e-02,9.627683126399251279e-01
1.361000000000000057e-02,7.490686018618461506e-02,9.339999999999999344e-03,6.606788156028822745e-02,8.820004121928661789e-01
1.440999999999999920e-02,6.478686018618462494e-02,9.010000000000000647e-03,6.606473980016190628e-02,1.019724364019261031e+00
