Q,I_obs,err,I_fit,I_fit_over_I_obs
1.608726683749914536e-03,2.384255335002931702e+02,1.227150872727699671e+01,1.807452742747225329e+02,7.580785145836751449e-01
1.660631871481363072e-03,1.700840923938909839e+02,7.157575551778982970e+00,1.659022532369756959e+02,9.754131083156751814e-01
1.759861714213932938e-03,1.517355090250799776e+02,9.934183703044137559e+00,1.412298628120321382e+02,9.307634298619488211e-01
1.912149363681436886e-03,1.213254772127371979e+02,4.930646674062816537e+00,1.111472837568945380e+02,9.161083583623925719e-01
2.028626675082429581e-03,9.996965949315779199e+01,8.486869482629595396e+00,9.311270323588355780e+01,9.314096267603717560e-01
2.070033228428954340e-03,7.195512244290891601e+01,5.318935007619367994e+00,8.754795163639370514e+01,1.216702142447975810e+00
2.185198382459913307e-03,8.465046158928269904e+01,3.679073306700289425e+00,7.400384970059991474e+01,8.742285430132762380e-01
2.295401566914627520e-03,5.409924900546482007e+01,3.080700436644428386e+00,6.332386086854039320e+01,1.170512752628853459e+00
2.410882724418589394e-03,3.982220373162977012e+01,4.181985104659253771e+00,5.403704717329581086e+01,1.356957729849981975e+00
2.491554762408178247e-03,5.110409046764301166e+01,2.590844139893586195e+00,4.851250696156660069e+01,9.492881395136599787e-01
2.564270712874364578e-03,3.975576624328941477e+01,2.711123325315508481e+00,4.410007830538980755e+01,1.109275017755033010e+00
2.690243975063670145e-03,2.930071024809716818e+01,2.214589567968155759e+00,3.755403373996108485e+01,1.281676567632004771e+00
2.808753243102662771e-03,3.474525647406008488e+01,1.704547810946204889e+00,3.243425538390471274e+01,9.334872922328057987e-01
2.929624625046191918e-03,1.961337365955759182e+01,1.775618510013602158e+00,2.806552504683253346e+01,1.430938171779346568e+00
3.083374646050461663e-03,2.026954340736220672e+01,1.435026789054186569e+00,2.348987835309604932e+01,1.158875554373078209e+00
3.188396999187026546e-03,1.863308342122761729e+01,1.655356342879140241e+00,2.088312709634482189e+01,1.120755305187645767e+00
3.342703922838503785e-03,1.661366438808224899e+01,1.219552142026115948e+00,1.766857261456755523e+01,1.063496420888460969e+00
